科学家,句子编号,句子,情感得分
丽丝·迈特纳,16,"像他们那一代的许多人一样,丽丝的父母是维也纳的新 居民,这种迁徙的未来意义也许可以解释他们对详细家族史 2 的不太关心",-1.0
丽丝·迈特纳,36,"1873 年,他娶了娇小的,黑眼睛的赫德维希 斯考夫朗;她的祖 父从俄国移居到了斯拉伐克,以逃避当时正在进行的对犹太 人的迫害",-1.0
丽丝·迈特纳,51,"对许 多新居民来说,维也纳是一个就业困难和失业率甚高的地方; 那里供水不足,夏天瘟疫流行,居住拥挤,以致连有钱的人 们都住在宿舍中,而穷人则同床而居或轮班睡觉",-1.0
丽丝·迈特纳,99,"即使在今天,这样的家庭纪录也会是 引人注意的,但在当时这却真正是不寻常的,因为直到19世 纪末期,妇女仍在法律上被排斥于奥地利大学之外,而且按 照相同的逻辑也被排斥于正规中学之外",-1.0
丽丝·迈特纳,100,"一个聪明的男孩可 以上高级中学并且参加Matura 考试,那是一种为进大学必 须参加的毕业考试,而女子公立学校则在女孩子14岁时便结 束了,而且那种学校是很差劲的",-0.25
丽丝·迈特纳,116,"她 又说:回想起我年轻时的生活,我就带着某种惊讶的心 情意识到当时在普通少女的生活中存在着何等众多的问题, 那些问题现在几乎是不可想像的了",-1.0
丽丝·迈特纳,117,其中最困难的问题之一 就是正常智力训练的可能性问题,-1.5
丽丝·迈特纳,118,"26 在奥地利,女子的高等教育问题曾经酝酿了一个世代",-1.0
丽丝·迈特纳,119,"这 个问题肯定从1867年就开始了;那一年,各大学开始对所有 的男人开放,而不分经济阶级、宗教或民族出身",-1.0
丽丝·迈特纳,125,"其余的人都被困在政府所期望的循环中:既然各大 学(所有的公立学院)都排斥妇女,政府就认为不宜设立学 校来使妇女们为进大学作准备了",-1.0
丽丝·迈特纳,126,"在欧洲,只有德国和土耳 其是对妇女受教育设置了更多的障碍的",-1.0
丽丝·迈特纳,127,"27 然而,在19世纪即将结束时,这种障碍开始动摇了",-1.0
丽丝·迈特纳,132,"看来很可能,最后,在奥地利 (也像在美国、法国和瑞士一样),妇女们可以受教育而不必 遭受精神病、不育症或社会灾难的折磨了",-1.0
