科学家,句子编号,句子,情感得分
卡塔林·考里科,82,谁能责怪你 呢?她只是坐在那里,-1.0
卡塔林·考里科,88,这些问题都不重要,-1.0
卡塔林·考里科,177,"当下的日子可能很艰难, 但他经历过更糟糕的时候",-1.25
卡塔林·考里科,288,"在某个时候,父亲终于放弃了,他继续他的创作,不再操 心我们了",-1.0
卡塔林·考里科,339,"在我父亲 的整个童年时期,饥饿如影随形,困扰着每个人",-1.0
卡塔林·考里科,413,"丈夫在远方死去 的消息令她绝望,她举枪自杀,留下了5个孩子,大的15岁,小的 才8岁",-1.0
卡塔林·考里科,431,"形势最糟糕的时候,我母亲(仍坚持在药房工作)与她的姐妹 和母亲一起躲在邻居家的地窖里",-0.75
卡塔林·考里科,479,"但我怀疑,在这个玩笑的背后是真切的担忧",-1.0
卡塔林·考里科,483,"我父亲还对一件事不满,一切都开始显得实用、功利和廉价",-1.0
卡塔林·考里科,491,"我父亲也讨厌合作社的会议,认为那是浪费时间",-1.0
卡塔林·考里科,497,"世界可能陷入了一场意识形态之争,但我父亲 操心的是近在眼前的问题",-1.0
卡塔林·考里科,521,"他们 还充当社区成员的早期预警系统,以防麻烦发生",-1.0
卡塔林·考里科,525,"但在那些艰难的日子里,走上街头就等于煽动叛乱",-1.0
卡塔林·考里科,548,"这种事在今天是绝无可能的,但我发誓:那年头,九岁的孩子品尝 葡萄酒是再正常不过的事情! 是的,那些年的生活是艰苦的",-1.0
卡塔林·考里科,549,"但生活中不仅仅有艰苦,事实 上,艰苦甚至不是最主要的内容",-1.0
卡塔林·考里科,550,"即使在最匮乏、最困难的岁月 里,我也一直拥有许多许多",-2.5
卡塔林·考里科,611,"1953年,在某种程度上,为了解决这个问题, 匈牙利宣布堕胎非法,并推出一系列鼓励生育的政策",-1.0
卡塔林·考里科,614,"那些年里 , 当一名妇女真的生了个孩子时 , 公开的庆祝活 动往往会因真切的焦虑而降温: 她如何喂饱多出来的这张嘴?她 怎样才能负担得起衣服、 书籍、 鞋子等所有这些物品的费用 , 买 得起孩子需要的所有东西? 对于学校来说,婴儿潮带来了不同的挑战:学生太多了",-1.0
卡塔林·考里科,632,"疫情暴发时,人人恐惧,病例难以预测",-1.0
卡塔林·考里科,633,"儿童可能不会出现任何症 状,也可能会表现出感染许多其他病毒的典型症状:发热、头痛、 疲劳、胃部不适",-1.0
卡塔林·考里科,637,"为什么有些孩子会毫发无 伤地康复,另一些孩子却再也不能走路了?为什么有的人只是发低 热,有的人却终生瘫痪? 家长们始终生活在对脊髓灰质炎的恐惧之中",-1.0
卡塔林·考里科,643,"在余生中,他腿上戴着支架,行走艰难",-1.0
卡塔林·考里科,648,每个人都害怕,-1.0
卡塔林·考里科,672,"我认为政府在鼓励这样做,但没有人抱怨政府过度 干预",-1.0
卡塔林·考里科,696,"我当时八岁,很害怕, 很想念父母",-1.5
