科学家,句子编号,句子,情感得分
吴健雄,1,"昊健雄 传 张怀亮 编著 南京大学出版社 26 .1 k837、12 2110 华北水利水电学院图书馆 2 0 9 6 0 2 8 9 3 吴健雄 张怀亮编著 南京大学出版社 96C283 图书在版编目(CIP) 数据 吴健雄传/张怀亮编著.一南京:南京大学出版社, 2002.5 ISBN 7-305-03773-7 I. 吴... .张... .吴健雄(1912~1997)一 传记 IV.K837.126.11 中国版本图书馆 CIP 数据核字第091060号 书 名 吴健雄传 编 著 者 张怀亮 出版发行 南京大学出版社 社 址 南京市汉口路22号 邮编210093 电 话 025-3596923 025-3592317 传真 025-3303347 网 址 电子邮件 经 销 全国各地新华书店 印 刷 兴化印刷厂 开 本 8801230 1/32 印张11.875 字数310千 版 次 2002年5月第1版 2002年5第1次印刷 印 数 1-2000 ISBN 7-305-03773-7/K255 定 价 28.00元 *版权所有,侵权必究 凡购买南大版图书,如有印装质量问题,请与所购图书销售部门联系调换 吴健雄 1934年,吴健雄在中央大学毕业时 1942年,吴健雄和袁 家骝的婚礼在美国加州理 工学院院长密立根家里的 花园举行(右1、右2是密 立根夫妇) gisea 20世纪50年代前期的吴健雄 吴健雄 1973年,吴健雄、袁家骝第一次回国时,受到周恩来总理的亲切接见 1975年,美国福特总统会见袁家骝 吴健雄 1977年10月10日,邓颖超副委员长会见吴健雄、袁家骝, 以及他们的独生子袁纬承和儿媳露西",-1.0
吴健雄,28,"Chang-Lin Tien:(美国柏克利加州大学校长) 吴健雄夫人的逝世的确是科学界的一个巨大损失! 吴 健 雄 传 WU JIAN XIONG ZHUAN David Vieira(美国洛斯 阿拉莫斯国家实验室化学及技术 部主任): 多年来,我一直钦佩吴夫人的实验工作,因此我将很荣幸地参 加这次大会来颂扬她的功绩并讨论当前宇称不守恒与弱相互作用 领域中的问题",-1.0
吴健雄,71,"为此我与台湾作者 江才健及复旦大学出版社进行了多次联系,终因涉及版权等问题 未能达成一致,只好割爱",-1.0
吴健雄,72,"为此,作者从1998年6月至11月在美 国期间,曾专程赴纽约采访过年已86岁的袁家骝教授,我们讨论 了编写目录,然后就目录中每个章节的主要部分,逐项向袁教授请 教并进行核实,老人在炎热的夏天不厌其烦地回答作者的问题,并 蒙允供给了录音带等资料,这使我深受感动",-1.0
吴健雄,81,"所以我编著此书的另一目的,就是试图回答一 些问题,同时对她历史上的某些事情,凡有争议或不一致的看法, 我都尽量把它列出来,相信读者看后会得到答案",-1.0
吴健雄,93,"让我们,同声欢呼: 吴健雄,你是当代的科学女皇! (陈廉方译) 翻译诗词是相当困难的,特别是夹有古典词句的互译就更难 吴 健 雄 传 WU JIAN XIONG ZHUAN 表达原著从内容到形式之美",-1.3
吴健雄,166,"不久上海二次革命失败, 吴仲裔便也回到浏河老家",-1.0
吴健雄,178,"爷爷反而安慰 她,还批评小健雄母亲",-1.0
吴健雄,185,"祖 父批评她:喔,你光知道母亲名字的由来,你怎就不知道你自己这 薇薇叫什么意思呢?小健雄再三要爷爷告知,并爬到爷爷腿上把 小嘴送过去,于是这位老秀才摇头晃脑的解释:这薇薇吗,它的本 意是诗经中提到的一种草本植物,你懂吗?就是一种草",-1.0
吴健雄,190,"想不到小健雄又提出一个问题:为何我有两个名字?在家中 人们都喊薇薇,而一出去,爸爸都要人家喊我吴健雄",-1.0
