科学家,句子编号,句子,情感得分
埃达·洛夫莱斯,49,"哈丽特 马蒂诺 (Harriet Martineau,18021876),社会理 论家,其著作涉及社会学、宗教和经济学问题,多从女 权主义视角立论",-1.0
埃达·洛夫莱斯,92,"她 用图表来说明,在克 里米亚战争中,英军 死亡的主要原因是传 染疾病(蓝色区域), 而不是受伤(红色区 域)",-1.0
埃达·洛夫莱斯,149,"我试了试二重的三数法则,但还没完 全搞明白,可我不会放弃的",-1.0
埃达·洛夫莱斯,154,"虽然她承认有点害怕定理,但她也下决心 尽我所能,大胆地战胜它们",-0.8
埃达·洛夫莱斯,155,"13 1829年12月,埃达刚13岁,在她当时的 张草 稿纸(图14)上,写满了对河流、山脉和山谷方面的 地理学问题的解答",-1.0
埃达·洛夫莱斯,178,"8 当然,埃达自己也意识到这并非易事,得一步一 步 来 : 这一终极计划可能比我的飞行计划面临更多 的困难和挑战,但我仍然相信这是可能实现的",-1.0
埃达·洛夫莱斯,185,"目前关于这些主题的材 料仅限于数值的一般概念,没有应用方面的问题, 只稍稍了解佩斯利书中第一部分涉及的问题",-1.0
埃达·洛夫莱斯,195,"当时年事已高的威廉 弗伦德给拜伦夫人写了多 封长信,和她谈论宗教问题",-1.0
埃达·洛夫莱斯,207,"4 当时,彩虹背后的数学理论仍是未解之谜,可埃 19 对页图:1834年 3月15日埃达 拜 伦给母亲的朋友也是 她母亲从前的导师威 廉 弗伦德的信,咨 询关于彩虹的数 学问题",-1.0
埃达·洛夫莱斯,260,"他深受欧洲数学家的新思想影响,曾在《反思英 格兰科学的衰落及其原因》(Reflections on the Decline of Science in England,and on Some of Its Causes)一 书 中,表达了对英国科学传统的厌恶",-1.0
埃达·洛夫莱斯,325,"这些信件的不同寻常 之处在于记录了这些困难,以及埃达是如何在克服困 难的过程中学习",-1.0
埃达·洛夫莱斯,327,"这大概就是 数学研究早期阶段的主要困难 埃达还会有些古灵精怪的论断: 我常常想起在书里读到的那些精灵和仙女, 他们先以一种形态出现,下一秒又以一种截然 不同的形态出现;数学世界里也不乏这般精 灵和仙女,虚虚实实,让人琢磨不透又欲罢 不 能",-1.0
埃达·洛夫莱斯,355,"德 摩根先生不希望我重蹈覆辙, 一再提醒我学习不 要一味求快",-1.0
埃达·洛夫莱斯,361,书中全面总结了研究科学问题所 要用到的数学,-1.0
埃达·洛夫莱斯,365,"例如,数列 0.9,0.99,0.999,0.9999 越来越接近1,而数列 38 这份手稿体现了 埃达对积分问题的初 次尝试,这是微积分 中的一个重要问题",-1.0
埃达·洛夫莱斯,377,"有时候,她会抱怨三个孩子的需求太多,所 以她不得不让保姆带着孩子们去另一处房子,或干脆 把孩子们送到母亲拜伦夫人那里",-1.0
埃达·洛夫莱斯,379,"尽管不断受到疾病、旅行和家务事的影响,埃达 跟随德 摩根学习还是持续了大概一年",-1.0
埃达·洛夫莱斯,384,"因为, 虽已尽我所能去理解,但也只是局限于我想要理 解的诸多联系中极小的一部分,而我追寻的问题 也只是灵光一现罢了 随着自信心与日俱增,埃达不仅敢于指出德 摩 根书中的印刷错误,还能提出更深层的质疑",-1.0
埃达·洛夫莱斯,394,"在19世纪末,又有一些人解决了更高维度的数 学问题",-1.0
埃达·洛夫莱斯,410,"就个人而言,我完全认同有一 个完全独立于算术考量之外的代数真理,当然我 也认为这是数学领域最难解决的问题",-1.0
埃达·洛夫莱斯,415,信中讨论的问题日后将成为埃达 唯一出版过的著作的主题,-1.0
