科学家,句子编号,句子,情感得分
居里夫人,13,"民族的压迫,社 会的冷遇,生活的贫困,激发了她的爱国热情和发奋精神,她决心 努力学习,用知识武装自己",-1.0
居里夫人,37,"在他们发现镭后,为 了使镭尽快地服务于人民,立即公开了提取镭的方法,拒绝申请 专利权,尽管那时他们的生活还很艰难",-0.25
居里夫人,40,"在她刚开始从事放射性研究时,由于不了解 射线对人体的破坏作用,没有采取必要的防护措施;后来又长期在 条件很差的环境里工作,致使有害物质严重危害了她的身体,得了 恶性贫血病,就是在她生命垂危的时刻,她也没有因为一生的磨难 和不幸遭遇,有过丝毫抱怨和遗憾",-1.0
居里夫人,48,"第 三,在科学的道路上,有时特别是妇女工作者,可能会遇到不应有 的压抑和歧视,但只要有信心,有脚踏实地的忘我工作精神,保守 的枷锁和禁锢,是可以打破的",-1.0
居里夫人,82,一种强烈的使命感使她离开她的祖国波兰到巴黎去求学;她 在巴黎度过了好几年艰苦孤寂的生活,-1.0
居里夫人,87,"正当这两位学者誉满全球的时候,玛丽遭到了丧偶的不幸;顷 刻之间,死神便夺去了她那非凡的伴侣",-1.0
居里夫人,88,"但是她不顾精神上的痛苦和身体上的疾病,独力继续进行既 定的工作,使夫妻俩共同创造的科学大放异彩",-0.3333
居里夫人,173,"这一家在弗瑞达路她办的学校里住了八年, 波兰起义:波兰亡国有一百三十年,其间在1795年、1830年、1848年、1863 年、1905年,都曾有大规模的革命运动发生,这些运动由于没有真正的革命阶级来领 导都失败了,但是革命的传统为后来解放斗争打下了基础",-1.0
居里夫人,184,"她还不了解这些习惯的令人痛苦的原因,也不懂她的母亲 为什么严格地使自己与他们隔离",-1.0
居里夫人,193,"起初,周围的寂静使她很得意,就继 续玩这个极有趣的游戏;但是她忽然惊慌起来,看了看斯可罗多 夫斯基先生和夫人惊呆了的脸,又看了看布罗妮雅不高兴的样子, 结结巴巴地说了几句含糊不清的话,就不由得哭了;神童的气概完 全消失,她仍然不过是一个四岁的孩子,痛哭着并且悲哀地重复着 说: 请原谅我原谅我我不是故意这不是我的错 也不是布罗妮雅的错这只是因为它太容易了! 玛妮雅突然失望地想到,或许因为她学了读书,他们永远不肯 原谅她",-1.0
