科学家,句子编号,句子,情感得分
杜德娜,8,"在水天交界处,天光与海水嬉 戏,这似乎缓解了我的恐惧自从懂事起,我就一直怀着这种恐惧",-1.0
杜德娜,9,"事实上,西洛岛的每一个居民,无论年龄大小,都有这种恐惧",-1.0
杜德娜,15,"我吓坏了但随着海啸临近,我的决心战胜了恐惧",-1.0
杜德娜,61,"CRISPR也已经被用来改造一种蚊子,越来越 多的野生蚊子将无法生育,科学家希望这可以彻底清除蚊媒疾病,比如 疟疾和塞卡,甚至清除所有可能传播疾病的蚊子",-0.3333
杜德娜,62,"不过,单就治疗疾病而言,CRISPR为直接在人类患者身上编辑、 修复突变基因提供了可能",-1.0
杜德娜,66,"研究人员已经纠正了进行性假肥大性肌营养不良症患者身上的突变 基因,从而治愈了疾病",-1.0
杜德娜,73,"CRISPR技术的影响不止于此,除了治疗疾病,它也可以预防疾 病",-1.0
杜德娜,81,"但我们不得不开始思考一个不可思议但至关重要的问题:鉴于人类在诸 多重大议题上争执不休、固执己见,我们会把这种强大的力量用在哪 里? 在2012年之前,我还从未思考过控制演化方向的问题那个时 候,我和同事刚刚发表了我们的研究成果,它为CRISPR基因编辑技术 奠定了基础",-1.0
杜德娜,97,"我组织了第一个关 于基因编辑技术(特别是关于CRISPR伦理问题)的会议,因为这些技 术影响到再生生物学、人类遗传学、农业、环境保护与健康",-1.0
杜德娜,101,"基因编辑迫使我们直面这个棘手的问题:改造人类遗传物质的界限 何在?有人认为,一切形式的遗传改造都是邪恶的,违背了神圣的自然 规律,伤害了生命的尊严;另一些人认为,基因组只是软件我们 当然可以修改、清理、更新、升级它们,他们更进一步争辩道,让人类 受制于有缺陷的遗传信息不仅有违理性,也有悖道德",-1.0
杜德娜,105,"突然有人插了一句话,他平静地 说:终有一天,我们会认为,不对生殖细胞系进行基因编辑来缓解人 类的痛苦,才是不道德的",-1.0
杜德娜,136,"她从小就被诊断患有该病,但当国立卫 生研究院的科学家遇到她时,疾病竟然奇迹般地从她体内消失了",-1.0
杜德娜,137,"在世界范围内,WHIM综合征患者不过几十个人,但它是一种令人 痛苦的,甚至可能致死的免疫缺陷疾病,患者的生活受到严重影响",-1.0
杜德娜,152,"金女士体内其他细胞的DNA是正 常的(CXCR4基因突变除外),但血细胞里的DNA怎么变得如此无 序?此外,考虑到含有CXCR4基因的染色体已经被打乱,而且缺失了 164个基因,血细胞为何仍然能够存活,而且可以正常行使功能?人类 的基因组里含有数千个基因,发挥着重要的功能,比如DNA复制和细胞 分裂,金女士体内竟然会有这么多基因凭空消失了,而且似乎没有什么 糟糕的后果,这到底是怎么回事? 国立卫生研究院的研究人员进行了更多测试,终于为这种惊人的自 愈现象拼接出一个完整的解释链",-1.0
