科学家,句子编号,句子,情感得分,情感类别
丽丝·迈特纳,1,"第 一 章 1 童年在维也纳 对于我父母的非凡善良,以及我的兄弟姐妹和我在其中 长大的那种特别鼓舞人的精神氛围,我甚至在今天心中也还 充满着感激之情",0.0,中性
丽丝·迈特纳,2,"丽丝 迈特纳于1878年出生在维也纳,是赫德维希 迈 特纳和菲利普 迈特纳的第三个孩子",0.0,中性
丽丝·迈特纳,3,"她在维也纳生活了29 年,然后就离开了,没有想到会一去不回,她去了柏林,那 里成了她的职业之家",0.0,中性
丽丝·迈特纳,4,"在一定程度上,她在感情上还不可逆 转地是维也纳人",0.0,中性
丽丝·迈特纳,5,"她对此心甘情愿,每当为了保留奥地利的 居留权而交费时就嘲笑她自己",0.0,中性
丽丝·迈特纳,6,"她会耸耸肩膀说:呐,痴心 是费钱的",0.0,中性
丽丝·迈特纳,7,"而且在更晚的时候,在她从德国逃到斯德哥尔摩 以后,在她全家的每一个人都已离开维也纳以后,在她所由 出身的那个社团永远消失了以后,她甚至在那时也还仍然坚 持自己奥地利的过去,直到她可以保留双重国籍才入了瑞典 籍",0.0,中性
丽丝·迈特纳,8,"假若她当年在维也纳住得更久一些,她也许就不会对该 地有如此深厚的感情了",0.0,中性
丽丝·迈特纳,9,"关于丽丝的童年,我们所知甚少",0.0,中性
丽丝·迈特纳,10,甚至她的生日都不是 完全确定的,0.0,中性
丽丝·迈特纳,11,"在维也纳犹太社区的出生纪录上,2登记的是 1878年11月17日,但是在一切其他文件上却写的是丽丝本 人所相信的11月7日",0.0,中性
丽丝·迈特纳,12,"有可能,她的父母由于对自己的犹太 信仰已经三心二意而延迟了登记,也可能这种不一致只起 源于人们常常相信维也纳人所具有的一种疏忽性格(Schlam perei)",0.0,中性
丽丝·迈特纳,13,哪一种解释都不是完全令人满意的,0.0,中性
丽丝·迈特纳,14,"丽丝的名字也稍 有改变,她本来叫爱丽丝",0.0,中性
丽丝·迈特纳,15,"在柏林,这样的事情可能带来一 番公文往来,但是在维也纳却根本无所谓",0.0,中性
丽丝·迈特纳,16,"像他们那一代的许多人一样,丽丝的父母是维也纳的新 居民,这种迁徙的未来意义也许可以解释他们对详细家族史 2 的不太关心",-1.0,负面
丽丝·迈特纳,17,"迈特纳家的人们只把自己的家谱追溯了不多的 几代,追溯到了摩拉维亚的迈伊太因乡村,那是维也纳以北 的肥沃地区,现在属于捷克共和国",0.0,中性
丽丝·迈特纳,18,"18世纪末期,当人权运 动开始传入奥地利时,奥皇约塞夫二世进行了一系列的改革, 旨在巩固他的政权并获得一切臣民对他的效忠",0.0,中性
丽丝·迈特纳,19,"他把德语规 定成了政府的法定语言,剥夺了教会特权,对农奴制进行了 某种放宽,并且许诺了犹太人可以在公职、兵役和教育方面 有一些最初的、很有限的权利",0.0,中性
丽丝·迈特纳,20,"皇帝的宽容并没有扩展到他 自己的身边不到200个犹太家庭获准了住在维也纳,但 是他折除了犹太人居住区的墙壁,于是犹太人就涌入了学校, 参加了军队,并且在德国的语言和文化中寻求了繁荣、机会 和人道主义的希望",1.0,正面
丽丝·迈特纳,21,约塞夫皇帝的行政改革包括要求人们有一个姓氏,0.0,中性
丽丝·迈特纳,22,"丽丝 的高祖父采用了迈伊台纳,这表明他们家是久居于迈伊太因 村的",0.0,中性
丽丝·迈特纳,23,"这个姓氏几经简化,就变成了迈特纳",0.0,中性
丽丝·迈特纳,24,"这个家族并不 显赫;如果某些成员得到了特殊的名望,那是由于他们的性 格和行为",0.0,中性
丽丝·迈特纳,25,"据说,丽丝的曾祖父每到星期五天黑以后就悄悄 地走遍全村,在每一个穷苦的犹太人家的门口放一块安息日 面包",0.0,中性
丽丝·迈特纳,26,"他尽可能秘密地作这种事,而且不允许任何人向他道 谢",0.0,中性
丽丝·迈特纳,27,但是每个人都知道这是迈特纳老者干的,0.0,中性
丽丝·迈特纳,28,"老者只 是一种尊称,而不是指宗教上的长老迈特纳家不曾 出过长老",0.0,中性
丽丝·迈特纳,29,迈特纳老者的儿子茅里斯就是丽丝的祖父,0.0,中性
丽丝·迈特纳,30,"他娶了夏绿 蒂 柯思 罗维;她是一个寡妇,有两个年幼的儿子,继承 了一家客店, 一些财产和乌塞考维茨镇上的一处房子",0.0,中性
丽丝·迈特纳,31,"在她 的孙女们的回忆中,她是一个美貌的,服装整齐的,既规矩 又欢快的人",0.0,中性
丽丝·迈特纳,32,"她们说:即使房子被烧掉,奶奶也还是会唱歌",0.0,中性
丽丝·迈特纳,33,"村子里流行了霍乱,但是奶奶仍在唱着",0.0,中性
丽丝·迈特纳,34,茅里斯和夏绿蒂的 儿子是菲利普,0.0,中性
丽丝·迈特纳,35,"他像他的母亲,有着金发和碧眼;也像他的 祖父迈特纳老者一样,他后来以正直和慈善而为人所知",0.0,中性
丽丝·迈特纳,36,"1873 年,他娶了娇小的,黑眼睛的赫德维希 斯考夫朗;她的祖 父从俄国移居到了斯拉伐克,以逃避当时正在进行的对犹太 人的迫害",-1.0,负面
丽丝·迈特纳,37,菲利普 迈特纳和赫德维希 迈特纳是在奥国从后期封 3 建主义到明显现代社会的过渡中成长起来的,1.0,正面
丽丝·迈特纳,38,"1848年的自由 主义革命在奥地利被粉碎了,但是争取个人自由和民族自治 的斗争却仍在继续进行",0.0,中性
