科学家,句子编号,句子,情感得分,情感类别
何泽慧,1,"何泽慧传 孙汉城刘晓钱思进编著 2 0 1 5 年 度 国 家 出 版 基 金 项 目 何先生是中国原子能物理事业开创者之一,是中科院近代物 理研究所的创建者之一",0.0,中性
何泽慧,2,"她以满腔的热忱领导开展中子物理与裂 变物理的实验,她积极推动了祖国宇宦线超高能物理及高能天体 物理研究的起步和发展",1.0,正面
何泽慧,3,"一 李政道 母校苏南才女,他乡晋北木兰",0.0,中性
何泽慧,4,"军工博土换科研,总是心怀国难",0.0,中性
何泽慧,5,"大力协同作战,人员设备支援",0.0,中性
何泽慧,6,"多方筹备尽超前,应急忙中不乱",0.0,中性
何泽慧,7,"彭桓武 春光明媚日初起,背着书包上班去",0.0,中性
何泽慧,8,"尊询大娘年几许,九十高龄有童趣",0.0,中性
何泽慧,9,"毕生竞业呈高能,尤庆后继茂成林",0.0,中性
何泽慧,10,"夕阳照晚红烂漫,赞我中华居里魂",0.0,中性
何泽慧,11,王大珩 何先生是我所遇到的最有才华、最有资格和能力的女科学家 中的一位:她同时又是一位很有魅力、能广泛理解人与人之间的 情感、能全面了解科学文化各方面的行为准则的人,1.0,正面
何泽慧,12,"赖因哈德 勃兰特 I SBN 978-7-5440-7869-6 山西教育出版社微信公众号 9 I7875440786961> 定价:38.00元 3 山西出版传媒集团 山西教育出版社 图书在版编目(CIP) 数据 何泽慧传/孙汉城,刘晓,钱思进编著.--太原:山西教育出版社,2015.9 ISBN 978-7-5440-7869-6 1.何 .孙刘钱 .何泽慧(19142011)-传记 IV.K826.11 中国版本图书馆CIP数据核字第203677号 何泽慧传 HEZEHUI ZHUAN 孙汉城 刘 晓 钱思进/编著 出 品 人 雷俊林 策 划 刘立平 闫果红 责任编辑 闫果红 复 审 仇小燕 终 审 薛海斌 装帧设计 薛 菲 印装监制 贾永胜 发行总监 王永江 出版发行 山西出版传媒集团 山西教育出版社 (地址:太原市水西门街馒头巷7号 电话:0351-4035711 邮编:030002) 印 装 山西臣功印刷包装有限公司 开 本 78710921/16 印 张 16.75 字 数 267千字 版 次 2015年10月第1版 2015年10月山西第1次印刷 印 数 1-30000册 书 号 ISBN 978-7-5440-7869-6 定 价 38.00元 如有印装质量问题,影响阅读,请与印刷厂联系调换",-1.0,负面
何泽慧,13,"电话:0351-7337712 谨以此书献给为中国核事业奉献一生的何泽慧先生 序 何泽慧先生是我国著名的核物理学家,中国科学院院士",1.0,正面
何泽慧,14,"曾先后任中国科 学院原子能研究所副所长,中国科学院高能物理研究所副所长",0.0,中性
何泽慧,15,"何先生1914年出生于苏州,2011年以97岁高龄在北京逝世",0.0,中性
何泽慧,16,"她的一生是 爱国奉献的一生,为核科学在中国生根奋斗的一生",1.0,正面
何泽慧,17,"1936年,她于清华大学物理系毕业后即赴德国留学,1940年在柏林高等 工业学院获弹道学专业工学博士学位",1.0,正面
何泽慧,18,"她本想以此对抗战作出贡献,但当时由 于二战开始,已回国无门,只得留在德国",0.0,中性
何泽慧,19,"先在西门子公司弱电流实验室工 作,后随核物理大师波特作核物理研究",0.0,中性
何泽慧,20,"她以敏锐的观察力,用磁云室首先观 察到正负电子的弹性碰撞这一稀有现象",0.0,中性
何泽慧,21,"1945年在英国召开的宇宙线会议上, 此工作被国际权威刊物Nature 在会议报道中誉为科学珍闻",0.0,中性
何泽慧,22,"1946年春,她 到法国与其清华同班同学钱三强结为伉俪,一起在居里实验室发现了铀核的三 分裂与四分裂现象",1.0,正面
何泽慧,23,"1948年6月,钱三强与何泽慧回到祖国",0.0,中性
何泽慧,24,在北平研究院原子学研究所艰 苦创业,0.0,中性
何泽慧,25,"北平研究院原子学研究所后改组为中国科学院近代物理研究所,扩建 为中国科学院原子能研究所",0.0,中性
何泽慧,26,何先生从事开创、奠基性研究,0.0,中性
何泽慧,27,"何先生主持了核 乳胶等探测器的研制,主持建立了比较完整的中子物理实验基地,完成了核武 器研制与核试验测试等一系列任务,并培养了大批科技干部",0.0,中性
何泽慧,28,何先生十分关心 我国核科学教育事业的发展,1.0,正面
