科学家,句子编号,句子,情感得分,情感类别
卡塔林·考里科,1,"突 破 [美国]卡塔林 考里科 著 李敬梁贵柏 译 从屠夫的女儿到 mRNA 疫苗技术先驱 为人类健康的未来打开全新可能 2023年诺贝尔 生理学或医学奖得主 卡塔林 考里科首部自传 卡塔林 考里科的故事鼓舞人心,如果你对科学、创新和锲而不舍可以改变世界曾有 一比尔 盖茨 2020年 诺贝尔化学奖得主 珍妮弗 杜德纳 2014年 诺贝尔化学奖得主 斯特凡 黑尔 家人合影(由左至右):我母亲雅诺什奈 考里科、我、我姐姐 苏珊 考里科,最右边是我父亲雅诺什 考里科,一名屠夫",1.0,正面
卡塔林·考里科,2,"匈牙利小 新萨拉什,1957年8月",0.0,中性
卡塔林·考里科,3,"小新萨拉什,1960年",0.0,中性
卡塔林·考里科,4,"生物学夏令营,成员是在地方上的生物学竞赛中胜出的七年级学 生",0.0,中性
卡塔林·考里科,5,(第一排右三是我,0.0,中性
卡塔林·考里科,6,")匈牙利奇莱贝尔茨,1968年",0.0,中性
卡塔林·考里科,7,"20岁,我那时是塞格德大学生物学专业的学生",1.0,正面
卡塔林·考里科,8,"匈牙利塞格德, 1975年",0.0,中性
卡塔林·考里科,9,"与我未来的丈夫贝拉 弗朗西亚在一起,当时我们在约会",0.0,中性
卡塔林·考里科,10,"小新 萨拉什,1979年",0.0,中性
卡塔林·考里科,11,我和父母站在我们家的院子里,0.0,中性
卡塔林·考里科,12,"小新萨拉什,1979年",0.0,中性
卡塔林·考里科,13,在匈牙利科学院生物研究中心的化学实验室中,0.0,中性
卡塔林·考里科,14,"塞格德,1980 年",0.0,中性
卡塔林·考里科,15,贝拉 弗朗西亚和我在我们的婚礼上,0.0,中性
卡塔林·考里科,16,"塞格德,1980年",0.0,中性
卡塔林·考里科,17,领取我的塞格德大学博士学位证书,0.0,中性
卡塔林·考里科,18,"塞格德,1983年",0.0,中性
卡塔林·考里科,19,"我女儿苏珊和那只著名的泰迪熊待在一起,那只熊是我妈妈送给 苏珊的一岁生日礼物",0.0,中性
卡塔林·考里科,20,"塞格德,1984年",0.0,中性
卡塔林·考里科,21,庆祝苏珊的两岁生日,0.0,中性
卡塔林·考里科,22,"小新萨拉什,1984年",0.0,中性
卡塔林·考里科,23,"我们的第一辆车是福特平托,购于我们一家三口抵达美国宾夕法 尼亚州的一个月后",0.0,中性
卡塔林·考里科,24,"宾夕法尼亚州,1985年",0.0,中性
卡塔林·考里科,25,"天普大学生物化学系苏哈多尔尼克实验室,我待在我的实验台旁 边",0.0,中性
卡塔林·考里科,26,"宾夕法尼亚州,1985年",0.0,中性
卡塔林·考里科,27,"健康科学统一服务大学病理学系,我待在组织培养流罩旁边",0.0,中性
卡塔林·考里科,28,"马 里兰州贝塞斯达,1989年",0.0,中性
卡塔林·考里科,29,"宾夕法尼亚大学医学院神经外科系的实验台,我在这里工作了17 年,致力于合成mRNA",0.0,中性
卡塔林·考里科,30,"宾夕法尼亚州,2005年",0.0,中性
卡塔林·考里科,31,"与德鲁 韦斯曼博士一起工作,我们共同确立了非免疫原性的核 苷修饰mRNA技术",0.0,中性
卡塔林·考里科,32,"宾夕法尼亚州,2015年",0.0,中性
卡塔林·考里科,33,"被迫离职前夕,我待在宾夕法尼亚大学神经外科系的实验室中",0.0,中性
卡塔林·考里科,34,"宾夕法尼亚州,2013年",0.0,中性
卡塔林·考里科,35,贝拉 弗朗西亚和我庆祝我们的女儿苏珊在奥运会赛艇比赛中赢 得一枚金牌,0.0,中性
卡塔林·考里科,36,"英国伦敦,2012年",0.0,中性
卡塔林·考里科,37,和百欧恩泰联合创办人兼首席执行官乌古尔 沙欣初次见面,0.0,中性
卡塔林·考里科,38,"几 个月后,我加入该公司",0.0,中性
卡塔林·考里科,39,"德国美因茨,2013年",0.0,中性
卡塔林·考里科,40,"在国际mRNA健康会议上,与宾夕法尼亚大学疫苗学家诺伯特 帕 迪、百欧恩泰公司心脏病学家加博尔 塔马斯 绍博在一起",0.0,中性
卡塔林·考里科,41,"德国柏 林,2019年",0.0,中性
卡塔林·考里科,42,"站在以我的形象创作的大型壁画旁边,壁画上写着匈牙利人将 书写未来",0.0,中性
卡塔林·考里科,43,"匈牙利布达佩斯,2021年",0.0,中性
卡塔林·考里科,44,在阿斯图里亚斯亲王奖颁奖礼招待会上:我、西班牙国王费利 佩、我女儿苏珊、苏珊的丈夫瑞安、我丈夫贝拉,0.0,中性
卡塔林·考里科,45,"西班牙奥维耶多, 在获得洛克菲勒大学荣誉博士学位的招待会上,和神经外科医生戴 维 兰格(左)、心脏病学家埃利奥特 巴纳森(右)在一起,他们为 我的mRNA研究提供了早期支持",1.0,正面
卡塔林·考里科,46,"纽约,2022年",0.0,中性
卡塔林·考里科,47,"前言 二年级的最后一天,我女儿苏珊从费城郊区的公立学校放学回 到家,坐在桌边,打开背包,拿出一支铅笔和一张纸,开始写字",0.0,中性
卡塔林·考里科,48,"她皱着眉头,努力又专注",1.0,正面
卡塔林·考里科,49,"在她的成长过程中,我一次又一次地看 到这样的神情",1.0,正面
卡塔林·考里科,50,我问苏珊在写什么,0.0,中性
卡塔林·考里科,51,她头也不抬地答道:我要感谢威尔逊夫 人今年教了我这么多东西,0.0,中性
卡塔林·考里科,52,"苏珊一直盯着纸页,仔细地拼写着单词",0.0,中性
卡塔林·考里科,53,"她的手 稳稳地写下一行字,然后开始写新的一行",0.0,中性
卡塔林·考里科,54,"我意识到,我以前没有这样做过",0.0,中性
