科学家,句子编号,句子,情感得分,情感类别
屠呦呦,1,"屠呦呦传 《 屠 呦 呦 传 》 编 写 组 中国首获诺贝尔奖的女科学家 上架建议:人物 励志 定价:39.00元 屠呦呦传 中国首获诺贝尔奖的女科学家 《屠呦呦传》编写组 封面摄影:金立旺 组 稿:张振明 刘敬文 责任编辑:刘敬文 李京明 安新文郑牧野 王新明 余 平刘彦青 忽晓萌 封面设计:薛宇 图书在版编目(CIP) 数据 屠呦呦传/《屠呦呦传》编写组编写 .- 北京:人民出版社,2015 . 12 ISBN 978-7-01-015594-4 I.屠 II.屠 .屠呦呦一传记 IV.K826.2 中国版本图书馆CIP 数据核字第286034号 屠呦呦传 TUYOUYOU ZHUAN 《屠呦呦传》编写组 人 人 火 颜 社 出版发行 (100706 北京市东城区隆福寺街99号) 北京盛通印刷股份有限公司印刷 新华书店经销 2015年12月第1版2015年12月北京第2次印刷 开本:710毫米1000毫米1/16 印张:11.75 字数:79千字 ISBN 978-7-01-015594-4 定价:39.00元 邮购地址100706 北京市东城区隆福寺街99号 人民东方图书销售中心 电话:(010)6525004265289539 版权所有 侵权必究 凡购买本社图书,如有印制质量问题,我社负责调换",0.0,中性
屠呦呦,2,"服务电话:(010)65250042 引 言 当地时间2015年10月5日上午11时30分, 瑞典首都斯德哥尔摩,卡罗林斯卡学院诺贝尔大 厅,挤满了来自世界各地的记者",0.0,中性
屠呦呦,3,"在众人注视之 下,诺贝尔生理学或医学奖评委会常务秘书乌尔 班 林达尔和3位评委一步步走上发布台",0.0,中性
屠呦呦,4,"林达尔面带微笑,先后用瑞典语、英语宣布, 2015年诺贝尔生理学或医学奖授予中国药学家屠 呦呦以及爱尔兰科学家威廉姆 坎贝尔和日本科学 家大村智,以表彰他们在寄生虫疾病治疗研究方面 取得的成就",-1.0,负面
屠呦呦,5,"2015年诺贝尔生理学或医学奖奖金 共800万瑞典克朗(约合92万美元),屠呦呦将获 得奖金的一半,另外两名科学家将共享奖金的另 一 半",0.0,中性
屠呦呦,6,"就在林达尔发布这一信息的同时,他身后的大 屏幕上,随之出现了3位获奖者的照片和简介",0.0,中性
屠呦呦,7,"照 片中的屠呦呦戴着眼镜,嘴角微微带笑地注视着正 前方,简介中写着生于1930年,中国中医科学 屠 呦 呦 传 ""For the greatest beneft to mankind"" yAe 1oh 2015 NOBELPRIZE IN PHYSIOLOGYOR MEDICINE William C.Campbell Satoshi Omura Youyou Tu The 2015 Nobel Prize in Physiology or Medicine 这是2015年 10月5日诺贝尔 奖官方网站发布 的照片",0.0,中性
屠呦呦,8,"从左 到右分别为爱 尔兰科学家威廉 姆 坎贝尔、日 本科学家大村 智、中国药学家 屠呦呦 院,北京,中国",0.0,中性
屠呦呦,9,"此时,是北京时间2015年10月5日下午5时 30分",0.0,中性
屠呦呦,10,"已成为全世界媒体都在寻找的采访对象屠 呦呦尚浑然不知,她正在洗澡时,在客厅看电视的 老 伴 突 然 告 诉 她 : 你 获 奖 了 ! 起初,屠呦呦并未在意,她认为是华伦 阿 尔波特奖的消息",0.0,中性
屠呦呦,11,"很快,贺信和鲜花纷至沓来, 一 波波记者争相采访她",0.0,中性
屠呦呦,12,"诺贝尔奖获得者的身份,让 屠呦呦迅速处于一种她并不习惯的热闹之中",0.0,中性
屠呦呦,13,"所有 引 言 人都在为屠呦呦的获奖而兴奋异常,因为历史已因 她的这次获奖而改写中国首次获得诺贝尔奖的 女科学家、中国医学界迄今为止获得的国际最高奖 项、中医药成果获得的最高奖项",0.0,中性
屠呦呦,14,"北京时间2015年10月6日下午13时,屠呦 呦接到林达尔的正式致电,通知她获奖的消息并表 示热烈祝贺,诚挚邀请屠呦呦于2015年12月赴瑞 典参加诺贝尔奖颁奖大会",0.0,中性
屠呦呦,15,"屠呦呦一如既往地淡 定,耄耋之年的她在回应时,着重提及的是这不 仅是个人的荣誉,更是国际社会对中国科学工作者 的认可",0.0,中性
屠呦呦,16,"诺贝尔奖,不仅是一个巨大的荣誉,更是为屠 呦呦几十年的默默坚守所补写的一个最佳注脚",0.0,中性
屠呦呦,17,或许正是这种内心平静的力量、淡泊名利的境 界和追求真理的勇气组成了科学大家的品格配 方,0.0,中性
屠呦呦,18,"成百上千次反复的尝试,枯燥、寂寞,没有 非凡的毅力、崇高的理想就不可能战胜失败的迷 茫,就不可能找到突破口,也就不可能获得非凡的 成 就",-1.0,负面
