科学家,句子编号,句子,情感得分,情感类别
杜德娜,1,ACRACK IN CREATION GENE EDITING AND THE UNTHINKABLE POWERTO CONTROL EVOLUTION 基因编辑的 惊人力量 2020年诺贝尔化学奖得主 杜德娜DOUDNA亲述基因剪刀 如何改写生命密码 [美]珍妮佛 杜德娜[美]塞缪尔 斯滕伯格著傅贺译袁端端校 iFORCE 原力 ceD 科 共 A CRACK IN CREATION GENE EDITING AND HE UNTHINKABLE POW ERTO CONTROL 基因编辑的 惊人力量 2020年诺贝尔化学奖得主 杜德娜DOUDNA 亲述基因剪刀 如何改写生命密码 [美]珍妮佛 杜德娜[美]塞缪尔 斯滕伯格著傅贺译袁端端校 iFORCE 原力 cD 破天机基因编辑的惊人力量 著者:[美]珍妮佛.杜德娜 [美]塞缪尔.斯滕伯格 译者:傅贺 策划编辑:吴炜 李蓓 孙桂均 杨波 ISBN:9787571003289 湖南科学技术出版社 HUNAN SCIENCE &TECHNOLOGY PRESS 目 录 版权信息 序宫:巨浪涌来 上篇 工具 1.寻找解药 2.细菌的新防御机制 3.破译密码 4.指挥与控制 下篇 任务 5.CRISPR生物园 6.治病救人 7.盘算 8.接下来呢 尾声:新起点 致谢 献给我的父母:多萝西杜德娜(Dorothy Doudna) 和马丁杜德娜(Martin Doudna) 珍妮佛杜德娜 献给我的父母:苏珊妮尼米赫特(Susane Nimmrichter) 和罗伯特斯滕伯格(Robert Sternberg) 塞缪尔斯滕伯格 科学没有意识到想象力对它有多重要,0.0,中性
杜德娜,2,"拉尔夫沃尔多爱默生(Ralph Waldo Emerson) 序宫:巨浪涌来 梦里,我站在海边",0.0,中性
杜德娜,3,"左右两侧的沙滩上,黑白相间的沙子沿着海岸线向远方铺开,围出 一个海湾的轮廓",0.0,中性
杜德娜,4,"这时,我意识到,这是夏威夷岛的海岸线,是我长大 的地方:西洛湾",0.0,中性
杜德娜,5,"每逢周末,我和小伙伴都会来这里,看皮划艇比赛, 捡贝壳,不时也会在岸上捡到日本渔船落下的玻璃珠",0.0,中性
杜德娜,6,"但是今天,没有小伙伴,没有皮划艇,也看不到渔船",0.0,中性
杜德娜,7,"海滩空无人 影,水面波澜不惊,安静到有点不自然",0.0,中性
杜德娜,8,"在水天交界处,天光与海水嬉 戏,这似乎缓解了我的恐惧自从懂事起,我就一直怀着这种恐惧",-1.0,负面
杜德娜,9,"事实上,西洛岛的每一个居民,无论年龄大小,都有这种恐惧",-1.0,负面
杜德娜,10,"我们这 代人在成长过程中没有经历过海啸,但是我们都见过海啸的照片",1.0,正面
杜德娜,11,"我们 知道,西洛岛正处于海啸途经的地带",0.0,中性
杜德娜,12,"果然,远远地,我看到了一排浪花",0.0,中性
杜德娜,13,"一开始它很小,但每过一秒它都在变大,我眼看着它开始耸立,直 至白浪滔天",0.0,中性
杜德娜,14,"在它后面,还有更多的浪,向海岸涌来",0.0,中性
杜德娜,15,"我吓坏了但随着海啸临近,我的决心战胜了恐惧",-1.0,负面
杜德娜,16,"我注意到身 后有一间小木屋,这是朋友普阿的家,屋子前面有一堆冲浪板",0.0,中性
杜德娜,17,"我抓起 一个,跳进海里,滑进海湾,绕过防波堤,一头扎进浪花",0.0,中性
