科学家,句子编号,句子,情感得分,情感类别
谢希德,1,"复旦大学校长传记系列 马相伯传略 李 登 辉 传 朱 恒 璧 传 陈 望 道 传 苏 步 青 传 谢 希 德 传 朱维铮 钱益民 王士良 邓 明 以 王增藩 王 增 藩 刘 志 祥 等著 著 编著 著 著 著 ISBN 7-309-04519-X 9787309""045192> K157 定价:32.00元 图书在版编目(CIP) 数据 谢希德传/王增藩,刘志祥著.上海:复旦大学出版社, 2005.5 (复旦大学校长传记系列) ISBN 7-309-04519-X I. 谢 .王刘 .谢希德-传记 IV.K826.11 中国版本图书馆CIP 数据核字第043458号 谢希德传 王增藩 刘志祥 著 如有印装质量问题,请向复旦大学出版社发行部调换",-1.0,负面
谢希德,2,"版权所有 侵权必究 三 内 容 提 要 谢希德是著名的物理学家、教育家和社会活 动家,她有着坎坷的经历和丰富的精神世界",0.0,中性
谢希德,3,"她 热爱祖国、追求真理、献身科学、人格高尚,堪 称楷模",0.0,中性
谢希德,4,"本传对她的人生历程作出较为全面的概 览,展现了她 一 生的光辉业绩与魅力风采",0.0,中性
谢希德,5,"谢希德院士是我国半导体物理学的开拓者之 一 ,是我国表面物理研究的先驱者和奠基人",0.0,中性
谢希德,6,"谢 希德是新中国的第 一 位大学女校长,是 一 位富有 实践经验的教育家,她的桃李满天下",0.0,中性
谢希德,7,"谢希德还 是 一位享有盛誉的社会活动家,她积极参政议政, 关注并投身国际学术文化交流,为复旦大学和中 国走向世界做出了自己的贡献",1.0,正面
谢希德,8,"本书资料殷实、照片珍贵、情感真挚、文笔 优美,多方面展现了谢希德院士的生平业绩和人 格魅力,读来感人肺腑、催人奋进,是适合广大 青少年朋友励志之必读传记作品",1.0,正面
谢希德,9,"序 在复旦大学百年校庆之际,《谢希德传》和我们见面了",0.0,中性
谢希德,10,"今年 又适逢谢希德先生逝世五周年祭,这本书的出版让我们再一次追 思这位最敬爱的师长,寄托我们深切的怀念",0.0,中性
谢希德,11,"谢希德先生的一生是极不平凡的一生:她生于军阀混战的贫 穷旧中国;求学于日寇侵略、民族灾难深重的岁月;怀着科学救国 的抱负学成于万里海外;又在新中国成立之后,历尽曲折毅然返回 祖国;无私忘我地投身于祖国的社会主义建设事业之中",0.0,中性
谢希德,12,"她的一 生和复旦大学所走过的百年历程一样,见证了中国从一个贫穷落 后、任人欺凌之旧中国到当今飞速发展、昂首屹立于世界民族之林 之新中国的近百年历史",-1.0,负面
谢希德,13,"从1952年回到祖国,直到2000年3月离开我们,谢先生在复 旦大学奋斗了将近半个世纪",1.0,正面
谢希德,14,"作为她在复旦大学的第一批学生和 第一批研究生之一,我追随她从她进校直到离去,一直在她悉心的 指导下工作,受到她的教育、提携和鞭策,我是谢先生在这近半个 世纪中丰功伟绩的直接见证者",0.0,中性
谢希德,15,她在复旦的足迹是复旦大学半个 世纪以来大跨步前进的写照,0.0,中性
谢希德,16,"谢先生刚来复旦大学时,正值院系调整、全盘学习苏联,物理 系要在短短两三年内开出许多过去从未有过的课程",0.0,中性
谢希德,17,"当时她倾全 力投入到教学中,讲授了从大一到大四的各种课程,是当时物理系 开课最多的教师",0.0,中性
谢希德,18,"根据苏联的体制,要设立专门化,物理系只有周 同庆和叶蕴理两位老教授一起开设了光学专门化",0.0,中性
谢希德,19,"谢先生和方俊 鑫先生这两位当时只有35岁左右的讲师,奋力合作,在1955年开 出了固体物理专门化,比计划提前了一年",1.0,正面
谢希德,20,"他们俩合著的《固体物 理学》一书自1959年出版后,在相当长的一段时间里,一直是国内 最为流行的固体物理学教科书",0.0,中性
谢希德,21,"1956年国家实行副博士研究生制 度,她和周同庆先生是当时物理系第一批招收副博士研究生的导 师",0.0,中性
谢希德,22,"根据国家十二年科学发展纲要,为了培养半导体方面的科技 人才,1956年秋,国家调集了国内五所学校的师生,在北京大学成 立了联合半导体专门化",1.0,正面
谢希德,23,"谢先生告别自己的丈夫和出生仅半年的 儿子,带领一批年轻教师和研究生到了北大",0.0,中性
谢希德,24,"黄昆教授和她分别 担任联合专门化的正副主任,他们为中国的半导体事业培养了好 几代人才,他们领导的联合半导体专门化,在我国半导体事业发展 中具有里程碑的意义",1.0,正面
谢希德,25,"1958年回到复旦,她和方俊鑫先生一起,将 复旦的半导体物理教研室建设成为一个先进的教学科研基地",0.0,中性
谢希德,26,"1963年以后,她又与黄昆先生一起倡议和领导了国家科委的基础 研究重点项目固体能谱,可惜后因文化大革命而完全终止",0.0,中性
谢希德,27,"文化大革命结束以后,她敏锐地洞察到国际物理学发展的新动 向,大力提倡开展表面物理学研究,经过十几年不懈努力,在复旦 建成了应用表面物理国家重点实验室,使之成为我国表面物理研 究和人才培养的基地,得到国际学术界的赞誉",1.0,正面
谢希德,28,"在改革开放之初, 她率先带领复旦大学走出国门,与国际学术界建立了广泛的联系, 极大地提高了复旦大学在国际上的知名度",0.0,中性
谢希德,29,"她先后担任复旦大学 副校长和校长,成为新中国任命的大学女校长第一人",0.0,中性
谢希德,30,她也是使 复旦大学物理系改天换地的第一人,0.0,中性
