科学家,句子编号,句子,情感得分,情感类别
居里夫人,1,SHIJIE MINGREN ZHUANJI CONGSHU 世 界 名 人 传 记 丛 书 居 里 夫 人 传 〔 法 〕 艾 芙 居 里 著 左 明 彻 译 林 光 校 商 务 印 书 馆 出 版 (北京王府井大街36号邮政编码100710) 新华书店总店北京发行所发行 河北香河县第二印刷厂印刷 ISBN 7-100-00107-2/K13 1984年7月修订第5版 开本85011681/32 1992年8月北京第8次印刷 字数298千 印数5000册 印张121/2插页3 定价:7 . 70元 迷 美 居里夫人像 斯可罗多夫斯卡夫人 玛丽的母亲 斯可罗多夫斯基和他的三个女儿(1890年摄) 左侧为玛丽 玛丽和她的姐姐(1886年) 比埃尔,0.2986,负面
居里夫人,2,"居里在讲课(1906年》 居里夫妇在理化学校的实验室 居里夫妇出发郊游 居里夫人在实验室(1912年) 巴黎的镭学研究院 居里夫人与其长女在实验室(1825年) 比埃尔 居里与玛丽 居里及老居里夫妇之墓 《世界名人传记丛书》出版说明 广大读者,特别是青年读者,爱读传记书,渴望从中吸取营养, 鞭策和激励自己的人生,世界名人传记更是青年们钟爱的读物",1.0,正面
居里夫人,3,"这 些名人都是历史人物中的佼佼者,他们中的大多数都曾站在时代 的风口浪尖上奋力拼搏,或以其深邃的思想睿智推动了世界文明 的进步,或以其叱咤风云的政治生涯深刻地影响了历史的进程,或 以其在自然科学领域的巨大成就造福于人类,但任何名人或伟人 都与普通人一样受到历史的局限,存在着这样或那样的不足",1.0,正面
居里夫人,4,商务印书馆历来重视传记书的翻译出版工作,0.9929,正面
居里夫人,5,"80年代以来,此 项译事更加有计划地进行,在翻译界和读书界的鼎力支持与协助 下,已经以专著或通俗读物单行本形式出版百余种",0.997,正面
居里夫人,6,"但由于这类传 记过去以单行本印行,难见系统,不便于读者研读查考",0.692,正面
居里夫人,7,"因此,我们 决定先从过去已出版的这类书中,选择各个时代、各个国家、各个 民族中有代表性的名人的传记编印成这套《世界名人传记丛书》, 今年出版丛书第一批,计20种,以后将逐年增补,以期在若干年后, 形成一个蔚为大观的完整系列",1.0,正面
居里夫人,8,"由于现系采用原纸型印行,译文未 能重新校订,体例也不尽统一;原来译本可用的序跋均予保留,个 别序跋有所修订",0.9558,正面
居里夫人,9,"今后增补的新译本,我们当力求其更富于科学性 和知识性,保持现有选本内容翔实和文字生动的特点,从而更好地 满足读者的需要",1.0,正面
居里夫人,10,"商务印书馆编辑部 1992年5月 中 译 本 序 钱 三 强 当人们谈起近代科学的历史时,不能不联想到原子能时代的 开创者之一居里夫人",0.9918,正面
居里夫人,11,"作为一位杰出的科学家,她一生中所 作出的贡献卓越非凡,是世界上第一个两次诺贝尔奖获得者;作为 一位伟大的女性,她赢得了世界人民的同情、支持和敬仰. 然而,居里夫人的一生,有成功也有磨难",1.0,正面
居里夫人,12,她出生于一个被沙俄占领的波兰教师家庭,0.9904,正面
居里夫人,13,"民族的压迫,社 会的冷遇,生活的贫困,激发了她的爱国热情和发奋精神,她决心 努力学习,用知识武装自己",1.0,正面
居里夫人,14,"1891年,她靠自己当家庭教师积攒下 的钱,从华沙到法国巴黎大学求学",0.9939,正面
居里夫人,15,"经过刻苦努力,三年中她先后 获得了物理学和数学学士学位(Licence), 并取得进研究室工作的 机会",0.9965,正面
居里夫人,16,"1894年,她结识了居里先生,为科学献身的理想,把他们永 远联系在一起",0.9795,正面
居里夫人,17,"他们生活清贫,工作、学习却十分紧张",0.9805,正面
居里夫人,18,"1896年,在居里夫人分 娩大女儿伊雷娜期间,法国亨利 柏克勒尔发现了铀的放射性",0.8362,正面
居里夫人,19,"她 怀着极大兴趣阅读了柏克勒尔的报告,开始系统地探索除铀以外, 是否还有别的化学元素具有类似的放射性",0.9906,正面
居里夫人,20,"于是,她对当时已知 的80种元素一一进行测试,先是发现已知元素钍和铀一样能放出 射线,进而发现了两个比铀的放射性更强的新元素",0.9704,正面
居里夫人,21,"居里夫人时刻 不忘自己的祖国,她决定用波兰(Poland) 命名第一个新发现的元 素为钋(Polonium), 另一个新元素为镭",0.7367,正面
居里夫人,22,科学的攀登还有更 艰巨的路程,0.9323,正面
居里夫人,23,"他们要开始进一步的研究工作,但没有适用的实验 室和缺乏其他物质条件,仅仅在巴黎市立理化学校内找到一间上 漏下潮的破旧棚子,略加修整后就成了他们的实验室",0.9727,正面
居里夫人,24,"在这里, 他们不但进行了大量、周密的科学研究,还要从事繁重的化学工艺 的操作,从几十吨铀沥青矿废渣中进行无数次的溶解、蒸发、分离 和提纯",0.9381,正面
居里夫人,25,"经过整整四年的辛勤劳动,终于第一次提炼出了十分之 一克多一点的纯氯化镭,并测定了镭的原子量",0.9913,正面
居里夫人,26,后来还第一次获 得了金属镭,0.8928,正面
居里夫人,27,"1903年,巴黎大学授予居里夫人国家理学博士学位, 又和居里先生、柏克勒尔一起获得了这一年的诺贝尔物理学奖",1.0,正面
居里夫人,28,磨难接踵而至,0.9387,正面
居里夫人,29,"1906年,居里先生因车祸不幸逝世",0.9253,正面
居里夫人,30,"居 里 夫 人尽管内心悲痛,却仍然以坚强的意志生活着,工作着,她继任了 居里先生在巴黎大学的讲座,指导实验室工作,潜心研究着各种放 射性元素;同时,她还完全担负起供养老居里先生和教育两个女儿 的责任",1.0,正面
居里夫人,31,"居里夫人成了世界公认的卓越科学家以后,还不断受到科学 界顽固保守势力的冷遇和压抑",0.9911,正面
居里夫人,32,"1911年,她接受朋友们的劝说,参 加了法国科学院院士的竞选,结果却以一票之差落选",0.6405,正面
居里夫人,33,"反对者所 持理由之一是,女人不能成为科学院院士",0.5042,中性
居里夫人,34,"然而公正的人们敬仰 她,就在同年12月,她第二次获得了诺贝尔奖(化学奖);不久,法 国医学科学院选她为院士",0.999,正面
居里夫人,35,"科学不是为了个人荣誉,不是为了私利,而是为人类谋幸福",0.9966,正面
居里夫人,36,这是居里夫人和居里先生一贯遵循的原则,0.8704,正面
居里夫人,37,"在他们发现镭后,为 了使镭尽快地服务于人民,立即公开了提取镭的方法,拒绝申请 专利权,尽管那时他们的生活还很艰难",0.5124,中性
居里夫人,38,"在第一次世界大战期 间,为了救护伤员,居里夫人把X 射线设备装到汽车上,奔走在战 场各处巡回医疗,挽救了大批受弹伤士兵的生命",0.9286,正面
居里夫人,39,"她热爱人民,而 对自己却想得极少",0.807,正面
居里夫人,40,"在她刚开始从事放射性研究时,由于不了解 射线对人体的破坏作用,没有采取必要的防护措施;后来又长期在 条件很差的环境里工作,致使有害物质严重危害了她的身体,得了 恶性贫血病,就是在她生命垂危的时刻,她也没有因为一生的磨难 和不幸遭遇,有过丝毫抱怨和遗憾",1.0,正面
居里夫人,41,"使她兴奋的是,巴黎大学为她盖起了镭学研究所,东边是居里 实验室,西边是研究射线对生物的作用的巴斯德实验室",1.0,正面
居里夫人,42,"在居里 实验室这个名副其实的国际科学机构里,她每天指导各种有关物 理与化学的研究工作",0.9896,正面
居里夫人,43,"在她的指导下,居里实验室完成了有关放射 性研究的论文达500篇以上,其中有许多是开创性的研究成果;最 为突出,同时也是她最高兴的是,1934年她的长女伊雷娜和女婿约 里奥发现了人工放射现象,并于1935年获得了诺贝尔化学奖",0.9987,正面
居里夫人,44,"她 的实验室培养了一批优秀的法国和外国的科学家,后来法国的学 生们大多数成为法国原子能事业的骨干,现任法国原子能总署的 高级专员泰亚克,就是其中的一个",1.0,正面
居里夫人,45,"在了解了居里夫人的光辉一生以后,我们从中得到的教益和 启迪是深刻而广泛的",0.9978,正面
居里夫人,46,"第一,受压迫,处困境的人们,只要意志坚 强,不畏艰难,勤奋学习,勇于攀登,胜利与成功之路是可以走通 的",1.0,正面
居里夫人,47,"第二,要接受和支持新生事物,要用创新精神去从事科学研究 和其他一切工作,并且要有百折不挠的毅力和勇气去完成它",0.9962,正面
居里夫人,48,"第 三,在科学的道路上,有时特别是妇女工作者,可能会遇到不应有 的压抑和歧视,但只要有信心,有脚踏实地的忘我工作精神,保守 的枷锁和禁锢,是可以打破的",0.9997,正面
居里夫人,49,"第四,在科学研究和其他工作中, 一定的物质条件是必要的,但是更重要的是要自己动手,自力更生 地去创造条件,永远保持艰苦奋斗的精神",0.9988,正面
居里夫人,50,"我到法国去做研究工作时(1937年),居里夫人已经去世",0.9743,正面
居里夫人,51,"但 我在居里实验室工作了十年,我的老师正是居里夫人的长女约里 奥一居里夫人",0.9802,正面
居里夫人,52,"她的简朴的生活,对虚荣的蔑视态度和对青年的 热情关心与指导,以及研究室里的浓厚的学术和民主讨论的气氛 等,都继承着居里夫人的优良传统,使我荣幸地,又是间接地受到 了居里夫人的学术和品德的教育",1.0,正面
居里夫人,53,"1978年,我有机会重返阔别三十年的巴黎,我怀着崇敬和激动 的心情,参观了居里夫人和我的老师以及我本人工作过的实验室, 那里的一切,几乎没有什么改变,只是当时的实验室现在成为纪念 馆;在实验室的小花园里,伫立着两尊铜塑头像,一尊是居里夫人, 一尊是居里先生;过去的比埃尔 居里街,现在改成比埃尔和 玛丽 居里街;邻近的先贤祠(Panthon), 埋葬着居里夫人的 老朋友、进步的科学家佩韩和郎之万;居里夫妇和约里奥-居里夫 妇,都静静地长眠于梭镇坟地",1.0,正面
居里夫人,54,"他们的生命停止了,然而,他们 为人类创建的丰功伟绩,是永远不会磨灭的! 艾芙 居里为她的母亲撰了这本言情并茂的传记,使后人得 以了解这位伟大科学家自强不息的一生,我们应该深深感谢她的 劳 作",1.0,正面
居里夫人,55,一九八三年四月 旧 版 译 者 前 言 居里夫人(玛丽 斯可罗多夫斯卡)和她的丈夫比埃尔 居里 是放射性元素镭的发现者,0.9093,正面
居里夫人,56,"他们的发现不但产生了一种治疗癌症 的新方法,在医学上作了重要的贡献,而且产生了一种推翻当时物 理学上几种基本学说的新学科,给现代的原子物理学奠定了基础",1.0,正面
居里夫人,57,"1956年,即比埃尔 居里逝世五十周年,世界各国人民都热烈纪 念他们夫妇",0.9999,正面
居里夫人,58,"居里夫人是波兰人,生长在波兰遭到沙俄占领的时期,受到政 治上和经济上的残酷压迫",0.9984,正面
居里夫人,59,"在华沙一个中学毕业之后,不得不作了 几年家庭教师,积蓄了一点钱,才能够到巴黎大学理学院去求学",0.9977,正面
居里夫人,60,"在巴黎节衣缩食,刻苦钻研,获得两个学位",0.3752,负面
居里夫人,61,"1895年,和比埃尔 居里结婚",0.553,中性
居里夫人,62,"她准备考博士学位,选定柏克勒尔发现的铀射线为论 文题目,在研究中注意到其他几种元素也有射线,肯定了放射性是 原子的性质;接着测出铀沥青矿的放射力比纯铀的放射力强,断定 矿物里含有未经发现的放射性元素",0.994,正面
居里夫人,63,"经她和比埃尔 居里在很困 难的条件下细心分析,在1898年先后发现了两种新元素:钋和镭",0.9954,正面
居里夫人,64,"为了证实镭的存在,她辛苦工作了好几年,提炼了几十吨铀沥青矿 的残滓,获得纯镭盐,并测定镭的原子量",0.9703,正面
居里夫人,65,"1906年,比埃尔 居里 猝遭车祸去世",0.9847,正面
居里夫人,66,"她继任他的讲座,指导他的实验室,并继续研究",0.9315,正面
居里夫人,67,"1910年,她分析出纯金属镭",0.9671,正面
居里夫人,68,"在第一次世界大战期间,她奔走各 伤兵医院,作爱克斯光照相服务,为各医院装置爱克斯光设备,并 大批训练爱克斯光技术人员",0.4963,中性
居里夫人,69,"战争终了后,她恢复教学和研究工 作,直到她因贫血症不治去世",0.9943,正面
居里夫人,70,"这本传记详细叙述了居里夫人的一生,也介绍了比埃尔 居 里的事迹,着重在描写居里夫妇的工作情神和处世态度",0.9936,正面
居里夫人,71,"书里引 用了居里夫妇的许多信札和几段日记,是一本很翔实的记录,文字 生动易读,书一出版就深受读者欢迎,陆续译成了二十七种语言",1.0,正面
居里夫人,72,"居里夫人说过:在科学上,我们应该注意事,不应该注意人",0.3635,负面
居里夫人,73,"然而在这二十世纪原子时代,镭的父母是值得注意的",0.9975,正面
居里夫人,74,他们的刻 苦精神和崇高品质有许多地方是我们应该学习的,0.9979,正面
居里夫人,75,"作者艾芙 居里是居里夫妇的次女,生于1904年",0.9615,正面
居里夫人,76,"在巴黎赛 维尼埃中学受教育后,专攻音乐",0.9985,正面
居里夫人,77,"原书是用法文写的,这个中译本 是根据法文本第五十二版翻译的,这次再版,根据原书把译文全部 校改了一遍,并新加了注释",1.0,正面
居里夫人,78,"因为参考资料不足,还不很完全, 只好将来再补",0.6391,正面
居里夫人,79,"限于译者的能力,译文容有不妥当的地方,希望 读者指正",0.9969,正面
