词语,TF-IDF值
特纳,0.5058392589065399
meitner,0.3741683040800949
哈恩,0.2966695269463545
to,0.25311124856900463
mc,0.2212545728339223
hahn,0.20900122702130886
and,0.18065425367872218
of,0.13311953103025673
der,0.12168360029596337
in,0.11197947971884803
奥托,0.10382060997351152
裂变,0.09362974431994876
lise,0.0887203195241462
und,0.08537540582178524
元素,0.08454139036502699
lise meitner,0.08205752872984273
玻尔,0.07919049529511088
otto,0.07679743073433999
1938,0.07315108327991855
柏林,0.07239172947424466
von,0.0687319471412358
中子,0.06831763788809417
york,0.06413176024171663
otto hahn,0.06382252234543323
new york,0.06333011323869515
see,0.0625284662356737
弗里,0.06171848314723215
june,0.060925172229630786
物理学,0.057689844368141556
new,0.057366343048426784
press,0.057159731551129765
1939,0.05655804448112714
能量,0.05539144419411201
die,0.05491281970696985
电子,0.054242244107097236
辐射,0.052173683950470645
纳粹,0.05050732377089749
衰变,0.050117351174477076
普朗克,0.04988377656384937
斯特,0.04964544375903814
for,0.04926022935680126
physics,0.04909424795802557
university,0.04769155515922483
维也纳,0.046454266925084725
粒子,0.044801874534759804
august,0.04288811466164799
july,0.04248729116013726
of the,0.041764459312064225
phys,0.0416856441571158
放射性,0.04114136311512884
ed,0.040327417965521
bohr,0.039681526649562156
life,0.039681526649562156
克尔,0.039626071566120635
frisch,0.038223378767319904
november,0.03807823264351924
des,0.03682068596851917
发射,0.03619586473712233
1945,0.035838760859328085
德国人,0.035838760859328085
活性,0.035838760859328085
犹太人,0.03543651093144844
cambridge,0.03487164463143341
february,0.03447082112992268
nuclear,0.03406999762841195
皇帝,0.03398332278412239
1933,0.033598838305620084
max,0.03341156744965138
威廉 皇帝,0.03296328077181716
月间,0.032736228370026155
fritz,0.03246670362236904
september,0.03246670362236904
一切,0.032442653002656904
瑞典,0.031605423247749634
berlin,0.03126423311783685
verlag,0.03126423311783685
on,0.030238954475058075
哈伯,0.02926011561028321
january,0.02885929210877248
同位素,0.02855901255977707
奥托 哈恩,0.02805385597601461
university press,0.027656821604240288
fission,0.02725599810272956
职位,0.027159060963709566
december,0.02665116317721388
哥本哈根,0.026454351099708104
from,0.025599143578113333
希特勒,0.025565435488972804
23,0.025326200085945067
october,0.02525188059517592
卢瑟福,0.02463011467840063
ibid,0.024450233592154463
university of,0.024450233592154463
测量,0.023903361809907257
german,0.023648586589133005
history,0.023648586589133005
1946,0.023443681775101345
an,0.023383020264304395
达勒姆,0.02324776308762227
原子,0.02252432170548953
