词语,TF-IDF值
吴健雄,0.922922780851173
袁家骝,0.23934520523282185
zhuan,0.0779480009814334
南京大学,0.06595600083044365
胡适,0.06537181816931698
宇称,0.06503353928036751
守恒,0.061920148781904216
物理学,0.04927526306744448
中央大学,0.04850167154497711
宇称 守恒,0.04750676982892094
劳伦斯,0.04270255864286028
原子弹,0.04235030645372165
衰变,0.03928444552267422
费米,0.038743385103197664
吴健雄 教授,0.03795782990476469
健雄,0.03690344574074345
李政道,0.034592308127855055
克利,0.03413107735281699
杨振宁,0.033669846577778925
哥伦比亚大学,0.03362551125904732
上海,0.029296874627079077
台湾,0.028596308052360183
物理系,0.02729936044796005
南京,0.02688323800975374
诺贝尔奖,0.02642844419734167
居里夫人,0.02467365680347261
wei,0.024250835772488554
原子核,0.02378389820761884
东南大学,0.02372364369047793
de,0.023304332089721994
苏州,0.023061538751903372
粒子,0.021639736940456136
常常,0.02147311091034011
穆特,0.02056049119841421
国内,0.02055655146371917
科技,0.019975141791190282
周总理,0.0198329233266369
校长,0.01930930373148394
文集,0.019273158892380782
加州大学,0.019149703787769787
妇女,0.019045040326680994
pin,0.018978914952382346
核物理,0.01845302447142841
杨振宁 李政道,0.018451722870371726
原子,0.018138133644458092
纪念,0.017231226962235186
回国,0.01706837021078316
世界 权威,0.015815762460318624
好像,0.015719715825197014
ren,0.01568184635129429
1997,0.01531427537324588
苏州 女子,0.01476137829629738
一切,0.01459070356728238
叔叔,0.014362277840827341
母校,0.014315518283686367
介子,0.01423418621428676
荣誉,0.014208204688158838
曼哈顿,0.013994014306447153
华人,0.01370699413227614
中子,0.013625750772066963
他俩,0.013625750772066963
对称,0.013625750772066963
等等,0.013603600233343569
曼哈顿 计划,0.013375692476103955
标准局,0.013375692476103955
xi,0.013179802050265518
zu,0.013179802050265518
du,0.013122150735237979
电子,0.012998995778528298
塞克,0.012914461701065888
女子 师范学校,0.012914461701065888
加速器,0.012889223703306588
1982,0.012696693551120663
院士,0.012696693551120663
可是,0.012663629511226217
祖国,0.012663629511226217
美国 物理学,0.012453230926027821
举行,0.012388333217503907
普林斯顿大学,0.012125417886244277
科研,0.012092089096305395
1998,0.01189194910380942
两位,0.01183774063005929
作出,0.01178978686889776
师范学校,0.011784433100166023
nu,0.011598225804233656
小行星,0.011598225804233656
李时珍,0.011598225804233656
世界 著名,0.011530769375951686
华盛顿,0.011487484641490124
著名 物理学家,0.011071814682857044
国家 标准局,0.011071033722223036
歧视,0.011047906031405647
奥本海默,0.010661747472380858
师生,0.010653408955301483
不知,0.010580577959267218
讲话,0.010580577959267218
ke,0.010543841640212416
日本,0.010461259161447745
这时,0.010461259161447745
这儿,0.010278275731859585
