,丽丝·迈特纳,何泽慧,卡塔林·考里科,吴健雄,埃达·洛夫莱斯,居里夫人,屠呦呦,杜德娜,林巧稚,谢希德
丽丝·迈特纳,1.0000000000000002,0.14559187976690172,0.030283858436952044,0.028851417394686628,0.16047279849833768,0.06599965655179807,0.02265950697226865,0.012685425231571413,0.009490749422298439,0.019786028811621774
何泽慧,0.14559187976690172,0.999999999999999,0.03543919757538193,0.07454176115257138,0.03011630343527943,0.13025729481425263,0.0819606087452084,0.015746006456008748,0.032294202849841115,0.0736901081257319
卡塔林·考里科,0.030283858436952044,0.03543919757538193,1.0000000000000009,0.021493858524538518,0.028626819849280085,0.07346771943149262,0.04969286960675448,0.2719476527145166,0.02877768999502076,0.026356101276254557
吴健雄,0.028851417394686628,0.07454176115257138,0.021493858524538518,1.0000000000000002,0.01196872753530291,0.04059760204610795,0.024466876446695512,0.01031116659406172,0.016581223652517758,0.05522855978123031
埃达·洛夫莱斯,0.16047279849833768,0.03011630343527943,0.028626819849280085,0.01196872753530291,0.9999999999999994,0.06468600058950007,0.023373679834900622,0.015802777089512908,0.004962289837925398,0.01006911863258151
居里夫人,0.06599965655179807,0.13025729481425263,0.07346771943149262,0.04059760204610795,0.06468600058950007,0.9999999999999991,0.03075576505222779,0.018825109768366904,0.04408282478944631,0.03736228281834114
屠呦呦,0.02265950697226865,0.0819606087452084,0.04969286960675448,0.024466876446695512,0.023373679834900622,0.03075576505222779,1.0000000000000007,0.04853371990537742,0.03108790602084065,0.04489765443603733
杜德娜,0.012685425231571413,0.015746006456008748,0.2719476527145166,0.01031116659406172,0.015802777089512908,0.018825109768366904,0.04853371990537742,1.0000000000000002,0.010681179706846471,0.0111511150579376
林巧稚,0.009490749422298439,0.032294202849841115,0.02877768999502076,0.016581223652517758,0.004962289837925398,0.04408282478944631,0.03108790602084065,0.010681179706846471,1.0000000000000007,0.027810324952928126
谢希德,0.019786028811621774,0.0736901081257319,0.026356101276254557,0.05522855978123031,0.01006911863258151,0.03736228281834114,0.04489765443603733,0.0111511150579376,0.027810324952928126,1.0
