科学家,词语,频次
埃达·洛夫莱斯,埃达,224
埃达·洛夫莱斯,数学,122
埃达·洛夫莱斯,Byron,113
埃达·洛夫莱斯,Lovelace,112
埃达·洛夫莱斯,莱斯,108
埃达·洛夫莱斯,洛夫,105
埃达·洛夫莱斯,of,82
埃达·洛夫莱斯,巴贝奇,78
埃达·洛夫莱斯,Dep,73
埃达·洛夫莱斯,拜伦,63
埃达·洛夫莱斯,Ada,59
埃达·洛夫莱斯,to,58
埃达·洛夫莱斯,摩根,56
埃达·洛夫莱斯,the,53
埃达·洛夫莱斯,and,50
埃达·洛夫莱斯,分析,46
埃达·洛夫莱斯,Library,43
埃达·洛夫莱斯,科学,43
埃达·洛夫莱斯,程序员,41
埃达·洛夫莱斯,Oxford,41
埃达·洛夫莱斯,第一位,40
埃达·洛夫莱斯,史上,39
埃达·洛夫莱斯,查尔斯,35
埃达·洛夫莱斯,夫人,34
埃达·洛夫莱斯,数学家,32
埃达·洛夫莱斯,威廉,32
埃达·洛夫莱斯,Bodleian,31
埃达·洛夫莱斯,De,29
埃达·洛夫莱斯,当时,28
埃达·洛夫莱斯,William,28
埃达·洛夫莱斯,170,28
埃达·洛夫莱斯,The,27
埃达·洛夫莱斯,问题,27
埃达·洛夫莱斯,London,27
埃达·洛夫莱斯,母亲,26
埃达·洛夫莱斯,fols,26
埃达·洛夫莱斯,Morgan,25
埃达·洛夫莱斯,几何,25
埃达·洛夫莱斯,公式,24
埃达·洛夫莱斯,Charles,23
埃达·洛夫莱斯,教育,23
埃达·洛夫莱斯,10,23
埃达·洛夫莱斯,19,23
埃达·洛夫莱斯,Ibid,23
埃达·洛夫莱斯,女性,22
埃达·洛夫莱斯,Augustus,22
埃达·洛夫莱斯,机器,22
埃达·洛夫莱斯,12,22
埃达·洛夫莱斯,机械,22
埃达·洛夫莱斯,Lady,22
埃达·洛夫莱斯,英国,20
埃达·洛夫莱斯,41,20
埃达·洛夫莱斯,信中,19
埃达·洛夫莱斯,维尔,19
埃达·洛夫莱斯,11,19
埃达·洛夫莱斯,设计,18
埃达·洛夫莱斯,King,18
埃达·洛夫莱斯,这些,18
埃达·洛夫莱斯,1840,18
埃达·洛夫莱斯,by,17
埃达·洛夫莱斯,原理,17
埃达·洛夫莱斯,居里夫人,17
埃达·洛夫莱斯,差分,17
埃达·洛夫莱斯,甚至,17
埃达·洛夫莱斯,计算,17
埃达·洛夫莱斯,萨默,16
埃达·洛夫莱斯,学生,16
埃达·洛夫莱斯,15,16
埃达·洛夫莱斯,一种,16
埃达·洛夫莱斯,三角形,16
埃达·洛夫莱斯,Babbage,15
埃达·洛夫莱斯,Somerville,15
埃达·洛夫莱斯,思想,15
埃达·洛夫莱斯,Science,15
埃达·洛夫莱斯,代数,15
埃达·洛夫莱斯,证明,15
埃达·洛夫莱斯,级数,15
埃达·洛夫莱斯,16,14
埃达·洛夫莱斯,如何,14
埃达·洛夫莱斯,其中,14
埃达·洛夫莱斯,飞行,14
埃达·洛夫莱斯,天文学,14
埃达·洛夫莱斯,方法,14
埃达·洛夫莱斯,一位,14
埃达·洛夫莱斯,in,14
埃达·洛夫莱斯,那么,14
埃达·洛夫莱斯,现在,14
埃达·洛夫莱斯,13,14
埃达·洛夫莱斯,运算,14
埃达·洛夫莱斯,可能,14
埃达·洛夫莱斯,认为,14
埃达·洛夫莱斯,算法,13
埃达·洛夫莱斯,20,13
埃达·洛夫莱斯,这样,13
埃达·洛夫莱斯,出版,13
埃达·洛夫莱斯,介绍,13
埃达·洛夫莱斯,弗伦德,13
埃达·洛夫莱斯,John,13
埃达·洛夫莱斯,早期,13
埃达·洛夫莱斯,这种,13
