科学家,词语,频次
居里夫人,居里夫人,1081
居里夫人,居里,505
居里夫人,这种,427
居里夫人,比埃尔,396
居里夫人,一种,314
居里夫人,已经,298
居里夫人,这些,291
居里夫人,实验室,247
居里夫人,并且,238
居里夫人,法国,234
居里夫人,玛妮雅,225
居里夫人,一些,224
居里夫人,知道,219
居里夫人,波兰,215
居里夫人,不能,214
居里夫人,觉得,214
居里夫人,她们,211
居里夫人,巴黎,178
居里夫人,科学,178
居里夫人,两个,178
居里夫人,布罗,167
居里夫人,夫人,160
居里夫人,这样,158
居里夫人,现在,155
居里夫人,学者,155
居里夫人,人们,151
居里夫人,那些,151
居里夫人,先生,150
居里夫人,一样,147
居里夫人,地方,145
居里夫人,妮雅,144
居里夫人,斯可罗多,134
居里夫人,那里,134
居里夫人,这是,132
居里夫人,华沙,129
居里夫人,学生,128
居里夫人,一起,126
居里夫人,一点,126
居里夫人,夫妇,125
居里夫人,伊雷娜,125
居里夫人,女子,124
居里夫人,青年,122
居里夫人,女儿,118
居里夫人,后来,117
居里夫人,得到,117
居里夫人,学校,116
居里夫人,看见,112
居里夫人,永远,111
居里夫人,教授,111
居里夫人,教师,109
居里夫人,孩子,109
居里夫人,完全,105
居里夫人,放射性,104
居里夫人,这里,104
居里夫人,几个,103
居里夫人,母亲,101
居里夫人,许多,101
居里夫人,夫斯基,98
居里夫人,物理学家,98
居里夫人,东西,97
居里夫人,朋友,96
居里夫人,一定,95
居里夫人,美国,95
居里夫人,房子,93
居里夫人,可是,91
居里夫人,就是,90
居里夫人,离开,90
居里夫人,妇人,89
居里夫人,夫斯,88
居里夫人,衣服,88
居里夫人,科学院,86
居里夫人,大学,86
居里夫人,父亲,85
居里夫人,差不多,84
居里夫人,参加,82
居里夫人,快乐,81
居里夫人,不是,80
居里夫人,一件,80
居里夫人,家里,80
居里夫人,认为,79
居里夫人,一次,78
居里夫人,它们,78
居里夫人,物理学,77
居里夫人,所有,77
居里夫人,总是,77
居里夫人,写给,77
居里夫人,索尔,76
居里夫人,年轻,75
居里夫人,注意,74
居里夫人,这次,74
居里夫人,想到,73
居里夫人,喜欢,72
居里夫人,物质,72
居里夫人,比较,71
居里夫人,然后,70
居里夫人,出来,70
居里夫人,决定,69
居里夫人,一天,69
居里夫人,信上,69
居里夫人,著名,68
