科学家,词语,频次
屠呦呦,屠呦呦,317
屠呦呦,青蒿素,210
屠呦呦,中国,148
屠呦呦,疟疾,120
屠呦呦,中医,105
屠呦呦,青蒿,102
屠呦呦,中药,85
屠呦呦,宁波,57
屠呦呦,临床,50
屠呦呦,药物,50
屠呦呦,中医药,47
屠呦呦,523,46
屠呦呦,北京,42
屠呦呦,全国,42
屠呦呦,当时,41
屠呦呦,治疗,40
屠呦呦,抗疟,39
屠呦呦,世界,38
屠呦呦,10,36
屠呦呦,科学家,35
屠呦呦,研究所,35
屠呦呦,2015,32
屠呦呦,国家,31
屠呦呦,研究院,29
屠呦呦,科研,29
屠呦呦,中学,28
屠呦呦,进行,28
屠呦呦,参加,27
屠呦呦,提取,27
屠呦呦,就是,26
屠呦呦,传统,25
屠呦呦,化学,25
屠呦呦,抗疟药,25
屠呦呦,新药,25
屠呦呦,科学,24
屠呦呦,20,24
屠呦呦,其中,24
屠呦呦,任务,24
屠呦呦,提取物,24
屠呦呦,双氢,24
屠呦呦,问题,23
屠呦呦,有效,23
屠呦呦,西医,23
屠呦呦,结构,23
屠呦呦,课题组,23
屠呦呦,诺贝尔奖,22
屠呦呦,11,22
屠呦呦,实验,22
屠呦呦,12,21
屠呦呦,可能,21
屠呦呦,医学,21
屠呦呦,项目,21
屠呦呦,疟原虫,21
屠呦呦,第五章,21
屠呦呦,享誉,21
屠呦呦,当年,20
屠呦呦,卫生部,20
屠呦呦,神药,20
屠呦呦,医学奖,19
屠呦呦,女性,19
屠呦呦,李廷钊,19
屠呦呦,方法,19
屠呦呦,诺贝尔,18
屠呦呦,国际,18
屠呦呦,重要,18
屠呦呦,效实,18
屠呦呦,院士,18
屠呦呦,得到,18
屠呦呦,科学院,18
屠呦呦,单位,18
屠呦呦,结果,18
屠呦呦,开展,18
屠呦呦,第四章,18
屠呦呦,30,17
屠呦呦,获奖,17
屠呦呦,寻蒿,17
屠呦呦,组织,17
屠呦呦,会议,17
屠呦呦,乙醚,17
屠呦呦,报告,17
屠呦呦,1973,17
屠呦呦,正是,16
屠呦呦,大家,16
屠呦呦,创新,16
屠呦呦,大学,16
屠呦呦,专业,16
屠呦呦,观察,16
屠呦呦,毛泽东,16
屠呦呦,拉斯,16
屠呦呦,王满元,16
屠呦呦,学院,15
屠呦呦,生理学,15
屠呦呦,这是,15
屠呦呦,这种,15
屠呦呦,海南,15
屠呦呦,地区,15
屠呦呦,影响,15
屠呦呦,发展,15
屠呦呦,大量,15
屠呦呦,应用,15
