科学家,词语,频次
丽丝·迈特纳,特纳,1262
丽丝·迈特纳,Meitner,1067
丽丝·迈特纳,to,903
丽丝·迈特纳,哈恩,846
丽丝·迈特纳,一种,806
丽丝·迈特纳,and,786
丽丝·迈特纳,of,632
丽丝·迈特纳,Hahn,593
丽丝·迈特纳,德国,586
丽丝·迈特纳,MC,551
丽丝·迈特纳,丽丝·迈特纳,535
丽丝·迈特纳,in,469
丽丝·迈特纳,the,450
丽丝·迈特纳,可能,416
丽丝·迈特纳,已经,389
丽丝·迈特纳,这种,371
丽丝·迈特纳,研究所,361
丽丝·迈特纳,元素,334
丽丝·迈特纳,奥托,333
丽丝·迈特纳,der,333
丽丝·迈特纳,以后,299
丽丝·迈特纳,一些,294
丽丝·迈特纳,实验,289
丽丝·迈特纳,1938,289
丽丝·迈特纳,柏林,286
丽丝·迈特纳,曾经,283
丽丝·迈特纳,知道,272
丽丝·迈特纳,任何,267
丽丝·迈特纳,裂变,267
丽丝·迈特纳,就是,266
丽丝·迈特纳,认为,264
丽丝·迈特纳,The,260
丽丝·迈特纳,玻尔,254
丽丝·迈特纳,Lise,253
丽丝·迈特纳,不是,251
丽丝·迈特纳,物理学,251
丽丝·迈特纳,方面,250
丽丝·迈特纳,一位,245
丽丝·迈特纳,问题,244
丽丝·迈特纳,不能,244
丽丝·迈特纳,中子,244
丽丝·迈特纳,人们,242
丽丝·迈特纳,能量,241
丽丝·迈特纳,电子,236
丽丝·迈特纳,得到,232
丽丝·迈特纳,科学,229
丽丝·迈特纳,辐射,227
丽丝·迈特纳,一次,226
丽丝·迈特纳,理论,222
丽丝·迈特纳,Otto,219
丽丝·迈特纳,斯特,216
丽丝·迈特纳,und,213
丽丝·迈特纳,化学,212
丽丝·迈特纳,进行,208
丽丝·迈特纳,物理学家,205
丽丝·迈特纳,那些,203
丽丝·迈特纳,1939,202
丽丝·迈特纳,完全,201
丽丝·迈特纳,现在,199
丽丝·迈特纳,那样,198
丽丝·迈特纳,衰变,198
丽丝·迈特纳,von,194
丽丝·迈特纳,以前,188
丽丝·迈特纳,New,183
丽丝·迈特纳,朋友,182
丽丝·迈特纳,当时,181
丽丝·迈特纳,告诉,180
丽丝·迈特纳,劳厄,180
丽丝·迈特纳,放射性,179
丽丝·迈特纳,粒子,177
丽丝·迈特纳,弗里,176
丽丝·迈特纳,科学家,175
丽丝·迈特纳,东西,174
丽丝·迈特纳,几乎,171
丽丝·迈特纳,这样,170
丽丝·迈特纳,战争,168
丽丝·迈特纳,喇斯曼,163
丽丝·迈特纳,纳粹,162
丽丝·迈特纳,许多,161
丽丝·迈特纳,受到,161
