词语,频次
吴健雄,2034
一种,1645
实验,1479
科学,1402
这种,1330
这些,1319
谢希德,1298
美国,1295
特纳,1285
林巧稚,1280
居里夫人,1241
已经,1225
中国,1202
一些,1145
就是,1141
学生,1104
这样,1080
问题,1077
Meitner,1069
科学家,1068
可能,1064
实验室,1043
物理,989
当时,988
教授,985
知道,971
to,965
基因,921
进行,913
大学,895
何泽慧,878
人们,865
哈恩,863
不是,853
and,849
不能,834
许多,802
现在,793
德国,785
研究所,746
后来,745
一次,739
认为,736
of,736
一位,732
一起,719
得到,707
居里,700
方面,678
CRISPR,677
参加,672
这是,667
物理学,635
发展,635
国家,633
还是,626
技术,612
那些,597
编辑,596
Hahn,595
世界,581
两个,576
任何,574
一样,572
觉得,568
学校,567
重要,556
MC,551
理论,549
它们,547
中子,540
丽丝·迈特纳,535
以后,533
the,525
DNA,514
孩子,513
细胞,507
完全,505
20,504
结果,504
父亲,503
in,499
会议,497
一切,493
那里,491
物理学家,491
特别,490
告诉,490
10,488
然后,487
先生,487
一直,483
情况,478
看到,476
非常,474
不同,470
所有,470
一点,468
并且,465
教育,464
