科学家,词语,频次
杜德娜,基因,878
杜德娜,CRISPR,677
杜德娜,编辑,564
杜德娜,DNA,456
杜德娜,细胞,324
杜德娜,人类,303
杜德娜,这些,293
杜德娜,科学家,264
杜德娜,技术,262
杜德娜,进行,261
杜德娜,基因组,215
杜德娜,RNA,211
杜德娜,可能,207
杜德娜,病毒,193
杜德娜,突变,186
杜德娜,实验室,165
杜德娜,已经,162
杜德娜,使用,156
杜德娜,细菌,154
杜德娜,这种,154
杜德娜,它们,154
杜德娜,序列,151
杜德娜,实验,150
杜德娜,分子,147
杜德娜,蛋白质,146
杜德娜,许多,140
杜德娜,生殖细胞,135
杜德娜,问题,135
杜德娜,治疗,130
杜德娜,生物,122
杜德娜,人员,119
杜德娜,一种,118
杜德娜,疾病,114
杜德娜,如何,113
杜德娜,胚胎,107
杜德娜,遗传,106
杜德娜,改造,105
杜德娜,比如,104
杜德娜,患者,104
杜德娜,噬菌体,101
杜德娜,动物,100
杜德娜,不过,99
杜德娜,科学,98
杜德娜,出现,98
杜德娜,Cas9,96
杜德娜,用于,96
杜德娜,遗传病,88
杜德娜,包括,87
杜德娜,是否,87
杜德娜,不同,86
杜德娜,领域,84
杜德娜,利用,84
杜德娜,无法,81
杜德娜,切割,81
杜德娜,不是,81
杜德娜,这样,79
杜德娜,一些,77
杜德娜,碱基,75
杜德娜,癌症,74
杜德娜,过程,73
杜德娜,类似,73
杜德娜,小鼠,73
杜德娜,应用,72
杜德娜,体内,72
杜德娜,功能,71
杜德娜,美国,69
杜德娜,公司,68
杜德娜,修复,68
杜德娜,现在,68
杜德娜,会议,68
杜德娜,事实上,67
杜德娜,这项,67
杜德娜,知道,64
杜德娜,目前,64
杜德娜,讨论,64
杜德娜,20,64
杜德娜,重组,64
杜德娜,任何,63
杜德娜,感染,63
杜德娜,甚至,62
杜德娜,提供,62
杜德娜,这是,61
杜德娜,所有,61
杜德娜,免疫,61
杜德娜,染色体,60
杜德娜,认为,59
杜德娜,非常,59
杜德娜,转基因,59
杜德娜,引起,57
杜德娜,引入,57
杜德娜,健康,55
杜德娜,临床,55
杜德娜,结果,55
杜德娜,考虑,55
杜德娜,论文,55
杜德娜,向导,55
杜德娜,影响,54
杜德娜,还是,54
杜德娜,理解,54
杜德娜,系统,54
