科学家,词语,频次
林巧稚,林巧稚,1278
林巧稚,医院,182
林巧稚,大夫,180
林巧稚,协和,180
林巧稚,孩子,159
林巧稚,中国,153
林巧稚,学生,148
林巧稚,妇产科,134
林巧稚,总理,129
林巧稚,这样,127
林巧稚,医生,116
林巧稚,就是,114
林巧稚,病人,114
林巧稚,问题,93
林巧稚,起来,91
林巧稚,已经,86
林巧稚,还是,82
林巧稚,北京,79
林巧稚,医学院,78
林巧稚,这里,73
林巧稚,教授,73
林巧稚,现在,72
林巧稚,产妇,71
林巧稚,不是,70
林巧稚,人民,70
林巧稚,看到,68
林巧稚,美国,68
林巧稚,不能,67
林巧稚,一位,67
林巧稚,医学,66
林巧稚,妇女,66
林巧稚,巧稚,65
林巧稚,老师,65
林巧稚,协和医院,64
林巧稚,许多,64
林巧稚,她们,63
林巧稚,一天,62
林巧稚,两个,62
林巧稚,来到,61
林巧稚,可是,61
林巧稚,一次,60
林巧稚,人们,59
林巧稚,这位,59
林巧稚,妻子,58
林巧稚,当时,58
林巧稚,心里,58
林巧稚,这是,57
林巧稚,一起,57
林巧稚,后来,57
林巧稚,情况,56
林巧稚,手术,56
林巧稚,北平,55
林巧稚,一边,54
林巧稚,事业,54
林巧稚,那里,54
林巧稚,立即,54
林巧稚,一切,53
林巧稚,这么,52
林巧稚,检查,52
林巧稚,这种,51
林巧稚,一样,51
林巧稚,这些,51
林巧稚,知道,51
林巧稚,一下,50
林巧稚,母亲,50
林巧稚,专家,50
林巧稚,子宫,49
林巧稚,主任,49
林巧稚,鼓浪屿,48
林巧稚,觉得,48
林巧稚,出来,48
林巧稚,患者,47
林巧稚,家庭,46
林巧稚,一种,46
林巧稚,住院医师,46
林巧稚,一些,45
林巧稚,参加,45
林巧稚,治疗,45
林巧稚,同学,43
林巧稚,一直,43
林巧稚,地方,42
林巧稚,然后,42
林巧稚,祖国,42
林巧稚,地说,42
林巧稚,大家,42
林巧稚,同志,42
林巧稚,感到,41
林巧稚,坐在,41
林巧稚,面前,40
林巧稚,父亲,40
林巧稚,不久,40
林巧稚,国家,40
林巧稚,避孕,40
林巧稚,学校,39
林巧稚,突然,39
林巧稚,婴儿,39
林巧稚,政治,39
林巧稚,高兴,39
林巧稚,几个,39
林巧稚,心中,39
