科学家,词语,频次
谢希德,谢希德,1294
谢希德,学生,388
谢希德,美国,330
谢希德,复旦大学,289
谢希德,物理,270
谢希德,发展,256
谢希德,中国,237
谢希德,当时,234
谢希德,教授,229
谢希德,半导体,215
谢希德,大学,210
谢希德,科学,194
谢希德,学校,189
谢希德,上海,183
谢希德,教育,176
谢希德,校长,163
谢希德,许多,163
谢希德,国家,157
谢希德,一些,155
谢希德,国际,151
谢希德,问题,149
谢希德,曹天钦,148
谢希德,我国,142
谢希德,复旦,139
谢希德,培养,129
谢希德,实验室,128
谢希德,这样,128
谢希德,后来,122
谢希德,参加,121
谢希德,理论,119
谢希德,表面,113
谢希德,祖国,112
谢希德,方面,109
谢希德,就是,108
谢希德,会议,108
谢希德,重要,105
谢希德,这些,104
谢希德,世界,99
谢希德,一位,99
谢希德,人才,98
谢希德,同学会,94
谢希德,领导,93
谢希德,同志,93
谢希德,研究生,90
谢希德,一起,90
谢希德,国外,90
谢希德,谢先生,89
谢希德,实验,87
谢希德,教学,86
谢希德,中心,86
谢希德,物理学,85
谢希德,一次,83
谢希德,教师,83
谢希德,影响,82
谢希德,学术,81
谢希德,科学家,81
谢希德,进行,81
谢希德,社会,80
谢希德,建设,80
谢希德,20,78
谢希德,大家,78
谢希德,学科,77
谢希德,情况,77
谢希德,上海市,77
谢希德,最后,76
谢希德,回国,76
谢希德,事业,75
谢希德,不能,74
谢希德,认为,74
谢希德,专业,74
谢希德,技术,74
谢希德,得到,73
谢希德,已经,72
谢希德,特别,72
谢希德,科研,72
谢希德,著名,71
谢希德,贡献,71
谢希德,物理系,71
谢希德,以后,70
谢希德,人民,70
谢希德,父亲,70
谢希德,还是,70
谢希德,基础,69
谢希德,非常,69
谢希德,经济,69
谢希德,关心,69
谢希德,成立,68
谢希德,人们,68
谢希德,十分,67
谢希德,一种,67
谢希德,了解,67
谢希德,欧美,67
谢希德,先生,66
谢希德,学院,66
谢希德,看到,66
谢希德,感到,66
谢希德,论文,65
谢希德,国内,64
谢希德,不过,64
谢希德,不是,64
