node_name,node_type,weight,sentiment,word_count,degree
丽丝·迈特纳,scientist,0,0.08562916666666666,45,0
何泽慧,scientist,0,-0.0007775349650349652,9537,203
惠盐省家带来7 一,institution,6,0.0,0,1
钱思进/编著 出 品 人 雷俊林 策 划 刘立平 闫果红 责任编辑,institution,1,0.0,0,1
267千字,institution,1,0.0,0,1
"itep),何泽慧负责在加速器及反应堆上进行核物理实验",institution,1,0.0,0,1
男孩接合了折断的胳膊 x光的发现也很快传入中国1897年,institution,1,0.0,0,1
也会使管壁玻璃发光贝克勒尔就想象,institution,1,0.0,0,1
光他认为伦琴 发现的用阴极射线激发的x 光用太阳光照射发磷光的物质也可能产生当时 已知铀盐在阳光照射下会发磷光于是他就做了一个实验把一块铀盐板放在包,institution,1,0.0,0,1
"de saint -victor,",institution,1,0.0,0,1
"成才16岁考上索邦大学(后来的巴黎大学),18岁就获得物理学士学位",institution,1,0.0,0,1
原子序数为84号1898年12月26日他们又发现了放射性比铀强200万倍的,institution,1,0.0,0,1
极管理论分享了诺贝尔物理学奖1972年因为是超导体的,institution,1,0.0,0,1
中再经电场或磁场偏转图1-6表明阴极射线是带负电的在静电场中由 其偏转的角度大小可定出它的荷质比(电荷与质量的比值,institution,1,0.0,0,1
出荧光但他太专注于研究阴极射线本身没有深追产生这一现象的原因⁵,institution,1,0.0,0,1
奖得主的高贵身份却像一个学生那样正规地选修了 一门统计学课程并参加了考试最后将实验结果与 带电粒子在库伦场中的散射计算作了定量比较得出,institution,1,0.0,0,1
"等(原子保持电中性),因此核内质子数就",institution,1,0.0,0,1
线通过物质时的吸收系数”当时人们,institution,1,0.0,0,1
射线的反常 吸收这一新现象并于1929年底将论文 送给密立根当时密立根是校长行政事,institution,1,0.0,0,1
thc”的2,institution,1,0.0,0,1
"有磁场的云室来研究thc""y射线与物质的相互作用观察在云室中一片薄铅板",institution,1,0.0,0,1
改进与物理工作荣获诺贝尔物理学奖)与,institution,1,0.0,0,1
hangir bhabha,institution,1,0.0,0,1
钱三强在我与约里奥-居里夫妇中关于人工放射性的发现写道,institution,1,0.0,0,1
产生)是不是相同的?第二如果阈相同那么,institution,1,0.0,0,1
实体确实是氮和磷这也是第一次在化学上确证了原子核反应(一种元素,institution,1,0.0,0,1
其慢化剂用的是极纯的石墨该反应堆退役后这些石墨被切成许多小块封在,institution,1,0.0,0,1
元素就是在周期表上原子序数大于92的元素 德国的一位小人物女化学家诺达克,institution,1,0.0,0,1
philip hauge,institution,1,0.0,0,1
的高幅度脉冲信号证实了这一推断仿照生物学中细胞分裂的概念迈特纳,institution,1,0.0,0,1
"man),该文献成为现代牛顿研究的转折点",institution,1,0.0,0,1
"银浓度的8倍以上),从而能够得到较为连续的带电粒子径迹先将乳胶版在 乙酸铀酰溶液中浸泡干燥后用回旋加速器的中子轰击13个小时然后经 处理就可以在显微镜下观察裂变的径迹报告投影了裂变碎片在乳胶里留下径",institution,1,0.0,0,1
密两个末端的银颗粒比较稀由于核乳胶板能够同时记录大量的裂变径迹 因此能够从中发现一些稀有现象报告在最后展示了产生三个带电粒子的裂,institution,1,0.0,0,1
西先后分别留学德国和法国互相之间联系不多1940年两人都获得了 博士学位但德法开战又把他们隔绝开来 烽火连三月家书抵万金战时通信受到颇多限制德国与美国中国之,institution,1,0.0,0,1
"道""这年冬天的一天我正在巴黎寓所她突然来了随身只带了一个小箱",institution,1,0.0,0,1
进行照射等积累到一定数量的裂变径迹以后就将其显影和定影最后用显 微镜观测,institution,1,0.0,0,1
用显微镜观察核乳胶得到的三叉径迹如图2,institution,1,0.0,0,1
慧的首日封如图2,institution,1,0.0,0,1
一种新探,institution,1,0.0,0,1
unesco,institution,1,0.0,0,1
j.wheeler,institution,1,0.0,0,1
