scientist,avg_sentiment,normalized_avg_sentiment,sentiment_entropy,positive_ratio,negative_ratio,neutral_ratio,positive_count,negative_count,neutral_count,total_sentences
丽丝·迈特纳,0.08562916666666666,0.3468674555154838,0.8112781244591328,0.25,0.0,0.75,1,0,3,4
何泽慧,-0.0007775349650349652,0.6181831558990075,0.07954595518341845,0.004273504273504274,0.004273504273504274,0.9914529914529915,1,1,232,234
卡塔林·考里科,0.013548958333333336,0.4699128361475923,1.061278124459133,0.125,0.125,0.75,2,2,12,16
吴健雄,0.0020823529411764705,0.7078607227644425,0.6305941785433513,0.0784313725490196,0.0392156862745098,0.8823529411764706,8,4,90,102
埃达·洛夫莱斯,0.013201504358574033,0.38884309546609314,0.5132369386528434,0.06557377049180328,0.02459016393442623,0.9098360655737705,16,6,222,244
居里夫人传 ),0.0003497711670480549,0.002288329519450801,0.023369639746044828,0.002288329519450801,0.0,0.9977116704805492,1,0,436,437
屠呦呦,0.009504411764705883,0.29889311908755145,0.7452176541661317,0.058823529411764705,0.08823529411764706,0.8529411764705882,2,3,29,34
杜德娜,0.4346681818181819,0.0,-0.0,1.0,0.0,0.0,1,0,0,1
林巧稚,0.0032602510460251048,0.0041841004184100415,0.03908175497953278,0.0041841004184100415,0.0,0.99581589958159,1,0,238,239
谢希德,0.00895117994100295,0.5265734551376529,0.293383827604085,0.035398230088495575,0.008849557522123894,0.9557522123893806,4,1,108,113
